unit_id,plant_id,unit_name,plant_name,operating_status,primary_fuel,technology,capacity,capacity_rating,admin_0,admin_1,latitude,longitude,location_accuracy,secondary_fuel,tertiary_fuel,quaternary_fuel,quinary_fuel,start_date,retired_date,planned_retire_date,is_captive,captive_use,captive_sector,has_ccs,constructed_before,constructed_after,construction_date,river,operating_status_detail
TZPWR2403000054317U000,TZPWR2403000054317,AB Solar Park,AB Solar Park,committed,NA,photovoltaic-unspecified,20,MWp/dc,PAK,PAK-PB,33.7667,72.3776,approximate,NA,NA,NA,NA,,,,FALSE,,,FALSE,,,,,pre_construction
TZPWR2403000054318U000,TZPWR2403000054318,ACT1 Wind Energy wind farm - 1,ACT1 Wind Energy wind farm,operating,NA,wind-onshore,30,MW,PAK,PAK-SD,24.9523,67.8541,exact,NA,NA,NA,NA,01/01/2016,,,FALSE,,,FALSE,,,,,operating
TZPWR2403000054319U000,TZPWR2403000054319,ACT2 Wind Energy wind farm - 2,ACT2 Wind Energy wind farm,operating,NA,wind-onshore,50,MW,PAK,PAK-SD,24.9533,67.8389,exact,NA,NA,NA,NA,01/01/2022,,,FALSE,,,FALSE,,,,,operating
TZPWR2403000054320U000,TZPWR2403000054320,AES wind farm,AES wind farm,inactive,NA,wind-onshore,150,MW,PAK,PAK-SD,24.7813,67.6181,approximate,NA,NA,NA,NA,,,,FALSE,,,FALSE,,,,,cancelled
TZPWR2403000054321U000,TZPWR2403000054321,APTMA Pothohar power station - --,APTMA Pothohar power station,inactive,coal-unspecified,coal-unspecified,330,MW,PAK,PAK-PB,32.588,73.042,approximate,NA,NA,NA,NA,,,,TRUE,non_industrial,textiles,FALSE,,,,,cancelled
TZPWR2403000054322U000,TZPWR2403000054322,Adhi Kot solar project,Adhi Kot solar project,operating,NA,photovoltaic-unspecified,12,MWac,PAK,PAK-PB,32.094,71.814,approximate,NA,NA,NA,NA,01/01/2015,,,FALSE,,,FALSE,,,,,operating
TZPWR2403000054323U000,TZPWR2403000054323,Aerem Energy wind farm,Aerem Energy wind farm,inactive,NA,wind-onshore,250,MW,PAK,PAK-SD,24.7513,67.9126,approximate,NA,NA,NA,NA,,,,FALSE,,,FALSE,,,,,shelved
TZPWR2403000054324U000,TZPWR2403000054324,Akhori Dam hydroelectric plant,Akhori Dam hydroelectric plant,committed,water,hydro-reservoir,600,MW,PAK,PAK-PB,33.7064,72.4428,exact,NA,NA,NA,NA,,,,FALSE,,,FALSE,,,,Haro River,pre_construction
TZPWR2403000054325U000,TZPWR2403000054325,Allai Khwar hydroelectric plant,Allai Khwar hydroelectric plant,operating,water,hydro-reservoir,121,MW,PAK,PAK-NW,34.8464,73.0006,exact,NA,NA,NA,NA,01/01/2013,,,FALSE,,,FALSE,,,,Allai Khwar River,operating
TZPWR2403000054326U000,TZPWR2403000054326,Arabian Sea wind farm,Arabian Sea wind farm,inactive,NA,wind-onshore,50,MW,PAK,PAK-SD,24.4966,67.4965,exact,NA,NA,NA,NA,,,,FALSE,,,FALSE,,,,,cancelled
