YEAR,battery-technology,bioenergy-power,coal-unspecified,gas-CCGT,gas-OCGT,hydropower,oil-internal-combustion-engine,solar-pv,transmission,windonshore-power
2023,0.0,0.0,0.0,0.0,0.0,0.057,0.194,0.00016,0.25,2.3904e-05
2024,0.0,0.0,0.0,0.0,0.0,0.057,0.194,0.00016,0.25,2.3904e-05
2025,0.0,0.015051227397172025,0.0,0.0,0.0,0.057,0.194,0.0202176,0.25,0.0200286848
2026,0.0,0.02033242395614865,0.0,0.0,0.0,0.057,0.194,0.047495935999999996,0.25,0.04403442176
2027,0.0,0.02033242395614865,0.0,0.0,0.0,0.057,0.194,0.08459447295999999,0.25,0.072841306112
2028,0.0,0.02033242395614865,0.0,0.0,0.0,0.057,0.194,0.13504848322559998,0.25,0.09843019703532692
2029,0.0,0.02033242395614865,0.0,0.0,0.0,0.057,0.194,0.19147723884902862,0.25,0.09843019703532692
2030,0.01832144300300843,0.02033242395614865,0.001,0.001,0.001,0.057,0.194,0.2628963264678033,0.25,0.09843019703532692
2031,0.026581600664010538,0.02033242395614865,0.0021000000000000003,0.0021000000000000003,0.0021000000000000003,0.057,0.194,0.28395207888217633,0.25,0.09843019703532692
2032,0.02895002870475677,0.02033242395614865,0.0033100000000000004,0.0033100000000000004,0.0033100000000000004,0.057,0.194,0.3,0.25,0.10000000000000002
2033,0.02895002870475677,0.02033242395614865,0.004641000000000001,0.004641000000000001,0.004641000000000001,0.06443886706685127,0.194,0.3,0.25,0.10000000000000002
2034,0.02895002870475677,0.02033242395614865,0.0061051000000000005,0.0061051000000000005,0.0061051000000000005,0.06695117652312965,0.194,0.3,0.25,0.10000000000000002
2035,0.02895002870475677,0.02033242395614865,0.00771561,0.00771561,0.00771561,0.10328999494613256,0.194,0.3,0.25,0.10000000000000002
2036,0.02895002870475677,0.02033242395614865,0.009487171,0.009487171,0.009487171,0.11273391972810301,0.194,0.3,0.25,0.10000000000000002
2037,0.02895002870475677,0.02033242395614865,0.0114358881,0.0114358881,0.0114358881,0.13910794271875013,0.194,0.3,0.25,0.10000000000000002
2038,0.02895002870475677,0.02033242395614865,0.013579476910000002,0.013579476910000002,0.013579476910000002,0.14978352778858464,0.194,0.3,0.25,0.10000000000000002
2039,0.02895002870475677,0.02033242395614865,0.015937424601000002,0.015937424601000002,0.015937424601000002,0.14978352778858464,0.194,0.3,0.25,0.10000000000000002
2040,0.02895002870475677,0.02033242395614865,0.0185311670611,0.0185311670611,0.0185311670611,0.14978352778858464,0.194,0.3,0.25,0.10000000000000002
2041,0.02895002870475677,0.02033242395614865,0.02138428376721,0.02138428376721,0.02138428376721,0.14978352778858464,0.194,0.3,0.25,0.10000000000000002
2042,0.02895002870475677,0.02033242395614865,0.024522712143931,0.024522712143931,0.024522712143931,0.14978352778858464,0.194,0.3,0.25,0.10000000000000002
2043,0.02895002870475677,0.02033242395614865,0.027974983358324098,0.027974983358324098,0.027974983358324098,0.14978352778858464,0.194,0.3,0.25,0.10000000000000002
2044,0.02895002870475677,0.02033242395614865,0.03177248169415651,0.03177248169415651,0.03177248169415651,0.14978352778858464,0.194,0.3,0.25,0.10000000000000002
2045,0.024276207869791684,0.02033242395614865,0.03594972986357216,0.03594972986357216,0.03594972986357216,0.14978352778858464,0.194,0.3,0.25028377970009585,0.10000000000000002
2046,0.016651342839844985,0.02033242395614865,0.04054470284992938,0.04054470284992938,0.04054470284992938,0.14978352778858464,0.194,0.3,0.25528037058346015,0.10000000000000002
2047,0.014282914799098748,0.02033242395614865,0.045599173134922316,0.045599173134922316,0.045599173134922316,0.14978352778858464,0.194,0.3,0.2602769614668245,0.10000000000000002
2048,0.014282914799098748,0.02033242395614865,0.051159090448414546,0.051159090448414546,0.051159090448414546,0.14978352778858464,0.194,0.3,0.26527355234962513,0.10000000000000002
2049,0.014282914799098748,0.02033242395614865,0.051159090448414546,0.057274999493256,0.057274999493256,0.14978352778858464,0.194,0.3,0.2702701432329895,0.10000000000000002
2050,0.014282914799098748,0.005281196558976623,0.051159090448414546,0.057274999493256,0.057274999493256,0.14978352778858464,0.194,0.2799424,0.2752667341163538,0.10000000000000002
