YEAR,Cost of electricity generation
2023,198.64983544335877
2024,201.22817458415474
2025,202.9608003135875
2026,206.3387789603792
2027,209.2713686980066
2028,213.1265674459264
2029,216.7539952374579
2030,219.57121520153365
2031,221.79578023617023
2032,222.20670399327835
2033,222.92770610258552
2034,224.30418430762452
2035,224.17989441716347
2036,225.11328607402794
2037,225.07024384706975
2038,222.81852238060395
2039,223.41301445026903
2040,224.16123479617207
2041,224.93580795239976
2042,225.3459628413927
2043,225.82850293308226
2044,226.27471842512935
2045,226.5650703435209
2046,226.93369567926146
2047,227.2620117096655
2048,228.0640161988232
2049,228.81386788019879
2050,229.51804340128692
