YEAR,coal-unspecified,gas-CCGT,gas-OCGT,oil-internal-combustion-engine
2023,0.0,0.0,0.0,0.7586899428028606
2024,0.0,0.0,0.0,0.7475788316915271
2025,0.0,0.0,0.0,0.648506304
2026,0.0,0.0,0.0,0.5873264640000002
2027,0.0,0.0,0.0,0.5389227741799689
2028,0.0,0.0,0.0,0.47720275200000006
2029,0.0,0.0,0.0,0.42825888
2030,0.006244127999999999,0.0007568639999999999,0.0017029439999999999,0.36707904000000013
2031,0.013112668800000003,0.003973536000000001,0.0033377702400000002,0.342607104
2032,0.020668063680000005,0.007502030568127119,0.006734974006144911,0.330371136
2033,0.02897899804800002,0.010538538006512135,0.020885971297436655,0.3058991999999999
2034,0.038121025852800014,0.013964497383538114,0.026110143730187434,0.293663232
2035,0.04817725643808002,0.012388795485402216,0.009635451287616,0.269191296
2036,0.059239110081888,0.013264179785457651,0.011309284651996801,0.2569553280000001
2037,0.0714071490900768,0.014425686684864,0.012333962115558723,0.232483392
2038,0.08479199199908447,0.0171296953533504,0.022473792876295345,0.22024742399999997
2039,0.09951531919899292,0.020104104888685442,0.04164354075248765,0.19577548800000003
2040,0.11571097911889223,0.023375955377553985,0.0484624331381792,0.18353952
2041,0.1335262050307815,0.02697499091530938,0.0606937295594461,0.16365384449337095
2042,0.15312295353385963,0.03102958501395289,0.06960134251539071,0.14683161600000005
2043,0.1746793768872455,0.035457024169954075,0.07367287538272119,0.13340334028154602
2044,0.1983914425759701,0.04011580035560509,0.07252599913677468,0.12242589725727991
2045,0.22447471483356712,0.04580562972605035,0.07126443526599352,0.11035070993023163
2046,0.2531663143169237,0.054190356611065346,0.0694100697531943,0.09629951712956752
2047,0.28472707374861617,0.06091236305758915,0.06711341334309955,0.0800747183069925
2048,0.31944390912347764,0.06268094056849827,0.07260088843715404,0.0614589528608044
2049,0.31944390912347764,0.07074582205148287,0.08128009728086945,0.04985668951054793
2050,0.31944390912347764,0.0991864848557908,0.08917416471290436,0.07415449967622832
