YEAR,coal-unspecified,gas-CCGT,gas-OCGT,hydropower,oil-internal-combustion-engine,solar-pv,windonshore-power
2023,0.0,0.0,0.0,0.5167961999999999,3.7934497140143018,0.0007884,7.679709791999999e-05
2024,0.0,0.0,0.0,0.46154027845763557,3.79315008,0.0007884,7.679709791999999e-05
2025,0.0,0.0,0.0,0.4615402784576356,3.79315008,0.0007884,7.679709791999999e-05
2026,0.0,0.0,0.0,0.48376250067985793,3.7931500799999998,0.0007884,7.679709791999999e-05
2027,0.0,0.0,0.0,0.5167961999999999,3.7931500799999998,0.0010880340143022437,7.679709791999999e-05
2028,0.0,0.0,0.0,0.5167961999999999,3.7931500800000006,0.023310256234301968,7.679709791999999e-05
2029,0.0,0.0,0.0,0.5167961999999999,3.79315008,0.05664358956874649,7.679709791999999e-05
2030,0.0,0.0,0.0,0.5167961999999999,3.79315008,0.11219914512652435,7.679709791999999e-05
2031,0.0,0.0,0.0,0.5167961999999999,3.79315008,0.16775470067763634,7.679709791999999e-05
2032,0.0,0.0,0.0,0.5167961999999999,3.7931500800000006,0.2788658117954135,7.679709791999999e-05
2033,0.0,0.0,0.0,0.5167961999999999,3.7931500800000006,0.37886581178985734,7.679709791999999e-05
2034,0.0,0.008556537840657718,0.0,0.5167961999999999,3.7931500799999998,0.44808705172808877,7.679709791999999e-05
2035,0.0,0.018872991624723494,0.0,0.5167961999999999,3.79315008,0.5599928201684684,7.679709791999999e-05
2036,0.0,0.030221090787195846,0.0,0.5167961999999999,3.7931500800000006,0.6375336098937738,7.679709791999999e-05
2037,0.0007740035064240094,0.04270399986591543,0.0,0.5167961999999999,3.79315008,0.7464989195297407,7.679709791999999e-05
2038,0.00936612385706641,0.05643519985250698,0.0,0.5167961999999999,3.79315008,0.9352867103025071,7.679709791999999e-05
2039,0.01881745624277305,0.07153951983775768,0.0,0.5167961999999999,3.7931500799999993,1.021842169043772,7.679709791999999e-05
2040,0.02921392186705036,0.08815427182153343,0.009460799999999998,0.5167961999999999,3.79315008,1.0964812625490523,7.679709791999999e-05
2041,0.0406500340537554,0.10643049900368681,0.019867680000000002,0.5167961999999999,3.7931500799999993,1.167473154289083,7.679709791999999e-05
2042,0.05322975745913093,0.12653434890405543,0.031315248000000004,0.5167961999999999,3.7931500800000006,1.2455642352066705,7.679709791999999e-05
2043,0.06706745320504402,0.148648583794461,0.04109754264346891,0.5167961999999999,3.7931500799999998,1.3220522321491055,7.679709791999999e-05
2044,0.15211698807960658,0.17297424217390708,0.042833460501684295,0.5167961999999999,3.79315008,1.3220522321491055,7.679709791999999e-05
2045,0.24567147643866744,0.19973246639129782,0.04474297014412152,0.5167961999999999,3.79315008,1.3220522321491055,7.679709791999999e-05
2046,0.33845965202509143,0.22916651303042762,0.04474297014412152,0.5167961999999999,3.79315008,1.3220522321491055,7.679709791999999e-05
2047,0.42830442294316035,0.2615439643334704,0.04474297014412153,0.5167961999999999,3.79315008,1.3220522321491055,7.679709791999999e-05
2048,0.4283044229431604,0.37210963596504154,0.05639952073477461,0.5167961999999999,3.79315008,1.3220522321491055,7.679709791999999e-05
2049,0.4283044229431604,0.4862368272290563,0.06449455168742606,0.5167961999999999,3.79315008,1.3220522321491055,7.679709791999999e-05
2050,0.4283044229431604,0.6042816901085146,0.06867191103240969,0.5167961999999999,3.79315008,1.3220522321491055,7.679709791999999e-05
