YEAR,coal-unspecified,gas-CCGT,gas-OCGT,hydropower,oil-internal-combustion-engine,solar-pv,windonshore-power
2023,0.0,0.0,0.0,0.057,0.194,0.00016,2.3904e-05
2024,0.0,0.0,0.0,0.057,0.194,0.00016,2.3904e-05
2025,0.0,0.0,0.0,0.057,0.194,0.00016,2.3904e-05
2026,0.0,0.0,0.0,0.057,0.194,0.00016,2.3904e-05
2027,0.0,0.0,0.0,0.057,0.194,0.00022080852649462073,2.3904e-05
2028,0.0,0.0,0.0,0.057,0.194,0.004730645608178989,2.3904e-05
2029,0.0,0.0,0.0,0.057,0.194,0.011495401231607607,2.3904e-05
2030,0.0,0.0,0.0,0.057,0.194,0.022769993937397124,2.3904e-05
2031,0.0,0.0,0.0,0.057,0.194,0.03404458664183386,2.3904e-05
2032,0.0,0.0,0.0,0.057,0.194,0.056593772053863727,2.3904e-05
2033,0.0,0.0,0.0,0.057,0.194,0.07688803892234547,2.3904e-05
2034,0.0,0.0009044201167615547,0.0,0.057,0.194,0.09093598208586277,2.3904e-05
2035,0.0,0.00199486212843771,0.0,0.057,0.194,0.11364643737564045,2.3904e-05
2036,0.0,0.0031943483412814814,0.0,0.057,0.194,0.12938277217529656,2.3904e-05
2037,9.090181549411012e-05,0.00451378317540963,0.0,0.057,0.194,0.15149648290811582,2.3904e-05
2038,0.0010999919970435211,0.005965161492950594,0.0,0.057,0.194,0.18980958098478073,2.3904e-05
2039,0.0022099911967478733,0.0075616776422456535,0.0,0.057,0.194,0.20737537677194767,2.3904e-05
2040,0.0034309903164226607,0.009317845406470219,0.001,0.057,0.194,0.22252283359696645,2.3904e-05
2041,0.004774089348064927,0.011249629947117241,0.0021000000000000003,0.057,0.194,0.23693011756247245,2.3904e-05
2042,0.006251498282871419,0.013374592941828965,0.0033100000000000004,0.057,0.194,0.25277812992525023,2.3904e-05
2043,0.007876648111158562,0.01571205223601186,0.004343981760894312,0.057,0.194,0.2683008081479666,2.3904e-05
2044,0.009664312922274418,0.018283257459613046,0.00452746707484402,0.057,0.194,0.2683008081479666,2.3904e-05
2045,0.01163074421450186,0.021111583205574352,0.00472930092001961,0.057,0.194,0.2683008081479666,2.3904e-05
2046,0.013516176777308746,0.02422274152613179,0.00472930092001961,0.057,0.194,0.2683008081479666,2.3904e-05
2047,0.01509049350805994,0.02764501567874497,0.00472930092001961,0.057,0.194,0.2683008081479666,2.3904e-05
2048,0.01509049350805994,0.031409517246619466,0.005961390234945735,0.057,0.194,0.2683008081479666,2.3904e-05
2049,0.01509049350805994,0.03555046897128141,0.006817029393648112,0.057,0.194,0.2683008081479666,2.3904e-05
2050,0.01509049350805994,0.040105515868409554,0.007258573379884331,0.057,0.194,0.2683008081479666,2.3904e-05
