YEAR,HTI
2023,0.7586899428028604
2024,0.7586300160000001
2025,0.7586300160000001
2026,0.758630016
2027,0.7586300160000001
2028,0.7586300160000001
2029,0.7586300160000001
2030,0.758630016
2031,0.7586300160000001
2032,0.7586300160000001
2033,0.7586300160000001
2034,0.7593145390272525
2035,0.760139855329978
2036,0.7610477032629757
2037,0.7622166167606866
2038,0.7652053792367552
2039,0.7684930179604306
2040,0.7738123645564737
2041,0.779663645812121
2042,0.7861000551933334
2043,0.792674300084491
2044,0.8136437156417293
2045,0.8367100727537525
2046,0.8594781951138963
2047,0.881834240820115
2048,0.8927776736569581
2049,0.9033649545295566
2050,0.9135604682420103
