YEAR,battery-technology,bioenergy-power,coal-unspecified,gas-CCGT,gas-OCGT,hydropower,oil-internal-combustion-engine,solar-pv,windonshore-power
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.4726085402712016,0.0,0.0,0.0,0.0,0.0,0.17450111999999998,0.044010517760000006
2026,0.0,0.16582957195186596,0.0,0.0,0.0,0.0,0.0,0.23732152319999994,0.052812621312000006
2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32275727155199996,0.06337514557440001
2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43894988931071993,0.0562955600313192
2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49093017392382904,0.0
2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6213460622833396,0.0
2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18318504600504545,0.0
2032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139616913725066,0.0034535665222808214
2033,0.0,0.0,0.0,0.0,0.0,0.011902187306962035,0.0,0.0,0.0
2034,0.0,0.0,0.0,0.0,0.0,0.004019695130045402,0.0,0.0,0.0
2035,0.0,0.0,0.0,0.0,0.0,0.05814210947680464,0.0,0.0,0.0
2036,0.0,0.0,0.0,0.0,0.0,0.015110279651152747,0.0,0.0,0.0
2037,0.0,0.0,0.0,0.0,0.0,0.0421984367850354,0.0,0.0,0.0
2038,0.0,0.0,0.0,0.0,0.0,0.01708093611173523,0.0,0.0,0.0
2039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
