YEAR,battery-technology,bioenergy-power,coal-unspecified,gas-CCGT,gas-OCGT,hydropower,oil-internal-combustion-engine,solar-pv,transmission,windonshore-power,battery-storage
2023,0.0,0.0,0.0,0.0,0.0,0.057,0.194,0.00016,0.25,2.3904e-05,0.05846642840417539
2024,0.0,0.0,0.0,0.0,0.0,0.057,0.194,0.00016,0.25,2.3904e-05,0.05846642840417539
2025,0.0,0.000302203596498697,0.0,0.0,0.0,0.057,0.194,0.0202176,0.25,0.0200286848,0.05846642840417539
2026,0.0,0.02033242395614857,0.0,0.0,0.0,0.057,0.194,0.047495935999999996,0.25,0.04403442176,0.05846642840417539
2027,0.0,0.02033242395614857,0.0,0.0,0.0,0.057,0.194,0.08459447295999999,0.25,0.072841306112,0.05846642840417539
2028,0.0,0.02033242395614857,0.0,0.0,0.0,0.057,0.194,0.13504848322559998,0.25,0.09843019703532753,0.05846642840417539
2029,0.0,0.02033242395614857,0.0,0.0,0.0,0.057,0.194,0.19147723884902856,0.25,0.09843019703532753,0.05846642840417539
2030,0.01832144300300751,0.02033242395614857,0.001,0.001,0.001,0.057,0.194,0.26289632646780375,0.25,0.09843019703532753,0.05846642840417539
2031,0.02966333252368103,0.02033242395614857,0.0021000000000000003,0.0021000000000000003,0.0021000000000000003,0.057,0.194,0.2905303911210993,0.25,0.09843019703532753,0.05846642840417539
2032,0.02966333252368103,0.02033242395614857,0.0033100000000000004,0.0033100000000000004,0.0033100000000000004,0.057,0.194,0.3,0.25,0.10000000000000002,0.05846642840417539
2033,0.02966333252368103,0.02033242395614857,0.004641000000000001,0.004641000000000001,0.004641000000000001,0.0644388670668515,0.194,0.3,0.25,0.10000000000000002,0.05846642840417539
2034,0.02966333252368103,0.02033242395614857,0.0061051000000000005,0.0061051000000000005,0.0061051000000000005,0.06695117652312987,0.194,0.3,0.25,0.10000000000000002,0.05846642840417539
2035,0.02966333252368103,0.02033242395614857,0.00771561,0.00771561,0.00771561,0.10328999494613275,0.194,0.3,0.25,0.10000000000000002,0.05846642840417539
2036,0.02966333252368103,0.02033242395614857,0.009487171,0.009487171,0.009487171,0.11273391972810332,0.194,0.3,0.25,0.10000000000000002,0.05846642840417539
2037,0.02966333252368103,0.02033242395614857,0.0114358881,0.0114358881,0.0114358881,0.13910794271875027,0.194,0.3,0.25,0.10000000000000002,0.05846642840417539
2038,0.02966333252368103,0.02033242395614857,0.013579476910000002,0.013579476910000002,0.013579476910000002,0.1603212763995813,0.194,0.3,0.25,0.10000000000000002,0.05846642840417539
2039,0.02966333252368103,0.02033242395614857,0.015937424601000002,0.015937424601000002,0.015937424601000002,0.1675656213901071,0.194,0.3,0.25,0.10000000000000002,0.05846642840417539
2040,0.02966333252368103,0.02033242395614857,0.0185311670611,0.0185311670611,0.0185311670611,0.1675656213901071,0.194,0.3,0.25,0.10000000000000002,0.05846642840417539
2041,0.02966333252368103,0.02033242395614857,0.02138428376721,0.02138428376721,0.02138428376721,0.1675656213901071,0.194,0.3,0.25,0.10000000000000002,0.05846642840417539
2042,0.02966333252368103,0.02033242395614857,0.024522712143931,0.024522712143931,0.024522712143931,0.1675656213901071,0.194,0.3,0.25,0.10000000000000002,0.05846642840417539
2043,0.02966333252368103,0.023034554663157184,0.027974983358324098,0.027974983358324098,0.027974983358324098,0.1675656213901071,0.194,0.3,0.25,0.10000000000000002,0.05846642840417539
2044,0.02966333252368103,0.024174770811354253,0.03177248169415651,0.03177248169415651,0.03177248169415651,0.1675656213901071,0.194,0.3,0.25,0.10000000000000002,0.05846642840417539
2045,0.011907274916518593,0.033761568550253605,0.03594972986357216,0.03594972986357216,0.03594972986357216,0.1675656213901071,0.194,0.3,0.25028377970009585,0.10000000000000002,0.05846642840417539
2046,0.006367652615381372,0.033761568550253605,0.04054470284992938,0.04054470284992938,0.04054470284992938,0.1675656213901071,0.194,0.3,0.25528037058346015,0.10000000000000002,0.05846642840417539
2047,0.006367652615381372,0.03943908847884104,0.043172871025895565,0.045599173134922316,0.045599173134922316,0.1675656213901071,0.194,0.3,0.26027696146682455,0.10000000000000002,0.05846642840417539
2048,0.006367652615381372,0.03943908847884104,0.043172871025895565,0.051159090448414546,0.051159090448414546,0.1675656213901071,0.194,0.3,0.26527355234962513,0.10000000000000002,0.05846642840417539
2049,0.006367652615381372,0.03943908847884104,0.043172871025895565,0.057274999493256,0.057274999493256,0.1675656213901071,0.194,0.3,0.2702701432329895,0.10000000000000002,0.05846642840417539
2050,0.006367652615381372,0.03913688488234234,0.043172871025895565,0.0640024994425816,0.057274999493256,0.1675656213901071,0.194,0.2799424,0.2752667341163538,0.10000000000000002,0.05846642840417539
