YEAR,coal-unspecified,gas-CCGT,gas-OCGT,oil-internal-combustion-engine
2023,0.0,0.0,0.0,0.7586899428028605
2024,0.0,0.0,0.0,0.7475788316915272
2025,0.0,0.0,0.0,0.7136238340409242
2026,0.0,0.0,0.0,0.5873264640000002
2027,0.0,0.0,0.0,0.5389227741799685
2028,0.0,0.0,0.0,0.47720275200000006
2029,0.0,0.0,0.0,0.4282588799999999
2030,0.006244127999999999,0.0007568639999999999,0.0017029439999999999,0.36707904
2031,0.013112668800000003,0.0015612798539898537,0.0033377702400000002,0.34260710399999994
2032,0.020668063680000005,0.007626876426373879,0.006228842148387836,0.33037113599999995
2033,0.02897899804800002,0.010663383864758898,0.02037983943967953,0.30589920000000004
2034,0.038121025852800014,0.013910500999835658,0.025991608536,0.293663232
2035,0.04817725643808002,0.012388795485402187,0.009635451287616,0.269191296
2036,0.059239110081888,0.01326417978545764,0.0113092846519968,0.25695532800000004
2037,0.0714071490900768,0.014425686684864,0.012333962115558723,0.23248339200000007
2038,0.08479199199908447,0.0171296953533504,0.013875053236213825,0.22024742400000002
2039,0.09951531919899292,0.020104104888685442,0.02713345906620611,0.19577548800000003
2040,0.11571097911889223,0.023375955377553985,0.03395235145189769,0.18353952
2041,0.1335262050307815,0.02697499091530938,0.05031128231719839,0.15906758400000004
2042,0.15312295353385963,0.03093393000684032,0.05509126082910919,0.146831616
2043,0.1746793768872455,0.03528876300752435,0.06373358112932972,0.12235968
2044,0.1983914425759701,0.04007907930827678,0.061454032405222736,0.110123712
2045,0.21967160204605707,0.04453177653095328,0.05250656114272288,0.08746700080066407
2046,0.23978101671891194,0.04849096866525183,0.05753779870839177,0.07341580800000001
2047,0.2603215647075961,0.04858052255659109,0.06471069857923095,0.05475018294656039
2048,0.22726251545898002,0.05523530098357918,0.07260088843715404,0.04490129512028687
2049,0.1703422798302254,0.08507859111887492,0.08128009728086945,0.03329903177003039
2050,0.07488248133699558,0.12306679766820865,0.11134118348941284,0.030709537505383033
