YEAR,HTI
2023,0.7586899428028605
2024,0.7475788316915271
2025,0.7136238340409242
2026,0.5873264640000002
2027,0.5389227741799685
2028,0.477202752
2029,0.42825888
2030,0.37578297600000005
2031,0.3606188228939899
2032,0.3648949182547617
2033,0.36592142135243844
2034,0.3716863673886357
2035,0.33939279921109816
2036,0.34076790251934247
2037,0.33065018989049955
2038,0.3360441645886487
2039,0.3425283711538844
2040,0.3565788059483438
2041,0.3698800622632892
2042,0.385979760369809
2043,0.3960614010240996
2044,0.41004826628946967
2045,0.40417694052039743
2046,0.4192255920925549
2047,0.42836296878997787
2048,0.4
2049,0.37000000000000016
2050,0.3400000000000001
