YEAR,battery-technology,bioenergy-power,coal-unspecified,gas-CCGT,gas-OCGT,hydropower,oil-internal-combustion-engine,solar-pv,windonshore-power
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.009489192930059084,0.0,0.0,0.0,0.0,0.0,0.17450111999999998,0.044010517760000006
2026,0.0,0.6289489192930059,0.0,0.0,0.0,0.0,0.0,0.23732152319999994,0.052812621312000006
2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32275727155199996,0.06337514557440001
2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43894988931071993,0.056295560031320566
2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4909301739238287,0.0
2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6213460622833439,0.0
2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2404163624836716,0.0
2032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08238559724643578,0.003453566522279455
2033,0.0,0.0,0.0,0.0,0.0,0.011902187306962384,0.0,0.0,0.0
2034,0.0,0.0,0.0,0.0,0.0,0.004019695130045416,0.0,0.0,0.0
2035,0.0,0.0,0.0,0.0,0.0,0.05814210947680459,0.0,0.0,0.0
2036,0.0,0.0,0.0,0.0,0.0,0.015110279651152927,0.0,0.0,0.0
2037,0.0,0.0,0.0,0.0,0.0,0.042198436785035126,0.0,0.0,0.0
2038,0.0,0.0,0.0,0.0,0.0,0.033941333889329635,0.0,0.0,0.0
2039,0.0,0.0,0.0,0.0,0.0,0.011590951984841292,0.0,0.0,0.0
2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2043,0.0,0.0848469042000705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2044,0.0,0.03580278705338802,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2045,0.0,0.3010254490014397,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2047,0.0,0.17827412575764548,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
