YEAR,battery-technology,bioenergy-power,coal-unspecified,gas-CCGT,gas-OCGT,geo-power,hydropower,oil-internal-combustion-engine,solar-pv,windoffshore-power,windonshore-power
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,0.0,1.2433079044994426,0.0,0.0,0.0,0.0,0.0,0.0,24.152760192000027,0.0,25.176416732416023
2026,0.0,81.69906250073642,0.0,0.0,0.0,0.0,0.0,0.0,31.746254653440033,0.0,29.620438777574428
2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.67649642086405,0.0,34.834724902656035
2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.64219765774751,0.0,30.312856076682394
2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.8343134756553,0.0,0.0
2030,5.97279041897999,0.0,2.732300000000003,1.0393000000000008,0.9392000000000008,0.0,0.0,0.0,71.57906637504223,0.0,0.0
2031,3.6407465361372013,0.0,2.9884140000000032,1.1326260000000012,1.0244080000000009,0.0,0.0,0.0,26.579825086766753,0.0,0.0
2032,0.0,0.0,3.2684278000000035,1.2342242000000012,1.1172656000000012,0.0,0.0,0.0,8.725960493645271,0.0,1.74742617012579
2033,0.0,0.0,3.5745602200000044,1.3448157800000013,1.2184506400000013,0.0,25.600117123862137,0.0,0.0,0.0,0.0
2034,0.0,0.0,3.909234846000004,1.4651834340000014,1.3287000320000013,0.0,7.989646532856436,0.0,0.0,0.0,0.0
2035,0.0,0.0,4.275098795000005,1.5961764610000015,1.4488147960000015,0.0,106.07301097674541,0.0,0.0,0.0,0.0
2036,0.0,0.0,4.657504731440006,1.7413381693400019,1.5796300812600015,0.0,27.345828598673872,0.0,0.0,0.0,0.0
2037,0.0,0.0,5.073640867218005,1.8995704547380017,1.7221202756120015,0.0,75.75146883373647,0.0,0.0,0.0,0.0
2038,0.0,0.0,5.526429182837206,2.072035815522202,1.8773122080218017,0.0,60.432544989951936,0.0,0.0,0.0,0.0
2039,0.0,0.0,6.019038752908067,2.2599985439158616,2.0463213241574416,0.0,20.46817233623514,0.0,0.0,0.0,0.0
2040,0.0,0.0,6.554905945164726,2.464833459833032,2.2303591414399917,0.0,0.0,0.0,0.0,0.0,0.0
2041,0.0,0.0,7.137813250677761,2.6880353734944773,2.4307983712716,0.0,0.0,0.0,0.0,0.0,0.0
2042,0.0,0.0,7.7717529578417555,2.9312293352898817,2.6490218556551293,0.0,0.0,0.0,0.0,0.0,0.0
2043,0.0,9.508041361363826,8.461102473931769,3.1961817357094224,2.8865820532026487,0.0,0.0,0.0,0.0,0.0,0.0
2044,0.0,3.9709623663565763,9.21060436366137,3.484812322859972,3.1451640717031215,0.0,0.0,0.0,0.0,0.0,0.0
2045,0.1419117343563005,33.04147361498137,10.025395606597572,3.7992072100835377,3.4265966733716606,0.0,0.0,0.0,0.0,0.0,0.0
2046,1.4273577360066554,0.0,10.910947155024676,4.141724850982944,3.7328641546568786,0.0,0.0,0.0,0.0,0.0,0.0
2047,0.0,19.97760292311915,6.173777298798812,4.514753947961396,4.066119165465422,0.0,0.0,0.0,0.0,0.0,0.0
2048,0.0,0.0,0.0,4.920971615825709,4.428696536889106,0.0,0.0,0.0,0.0,0.0,0.0
2049,0.0,0.0,0.0,5.3632852777832705,4.823128190942872,0.0,0.0,0.0,0.0,0.0,0.0
2050,0.0,0.0,0.0,5.844851955974086,0.0,0.0,0.0,0.0,0.0,0.0,0.0
