YEAR,battery-technology,bioenergy-power,coal-unspecified,gas-CCGT,gas-OCGT,hydropower,oil-internal-combustion-engine,solar-pv,transmission,windonshore-power,battery-storage
2023,0.0,0.0,0.0,0.0,0.0,0.057,0.194,0.00016,0.25,2.3904e-05,0.05706050657707568
2024,0.0,0.0,0.0,0.0,0.0,0.057,0.194,0.00016,0.25,2.3904e-05,0.05706050657707568
2025,0.0,0.015051227397171924,0.0,0.0,0.0,0.057,0.194,0.0202176,0.25,0.0200286848,0.05706050657707568
2026,0.0,0.020332423956148565,0.0,0.0,0.0,0.057,0.194,0.047495935999999996,0.25,0.04403442176,0.05706050657707568
2027,0.0,0.020332423956148565,0.0,0.0,0.0,0.057,0.194,0.08459447295999999,0.25,0.072841306112,0.05706050657707568
2028,0.0,0.020332423956148565,0.0,0.0,0.0,0.057,0.194,0.13504848322559998,0.25,0.0984301970353275,0.05706050657707568
2029,0.0,0.020332423956148565,0.0,0.0,0.0,0.057,0.194,0.19147723884902862,0.25,0.0984301970353275,0.05706050657707568
2030,0.01832144300300782,0.020332423956148565,0.001,0.001,0.001,0.057,0.194,0.2628963264678036,0.25,0.0984301970353275,0.05706050657707568
2031,0.026581600664005688,0.020332423956148565,0.0021000000000000003,0.0021000000000000003,0.0021000000000000003,0.057,0.194,0.2839520788821787,0.25,0.0984301970353275,0.05706050657707568
2032,0.028950028704756783,0.020332423956148565,0.0033100000000000004,0.0033100000000000004,0.0033100000000000004,0.057,0.194,0.3,0.25,0.1,0.05706050657707568
2033,0.028950028704756783,0.020332423956148565,0.004641000000000001,0.004641000000000001,0.004641000000000001,0.06443886706685151,0.194,0.3,0.25,0.1,0.05706050657707568
2034,0.028950028704756783,0.020332423956148565,0.0061051000000000005,0.0061051000000000005,0.0061051000000000005,0.0669511765231299,0.194,0.3,0.25,0.1,0.05706050657707568
2035,0.028950028704756783,0.020332423956148565,0.00771561,0.00771561,0.00771561,0.10328999494613275,0.194,0.3,0.25,0.1,0.05706050657707568
2036,0.028950028704756783,0.020332423956148565,0.009487171,0.009487171,0.009487171,0.11273391972810325,0.194,0.3,0.25,0.1,0.05706050657707568
2037,0.028950028704756783,0.020332423956148565,0.0114358881,0.0114358881,0.0114358881,0.13910794271875032,0.194,0.3,0.25,0.1,0.05706050657707568
2038,0.028950028704756783,0.020332423956148565,0.013579476910000002,0.013579476910000002,0.013579476910000002,0.14978352778858495,0.194,0.3,0.25,0.1,0.05706050657707568
2039,0.028950028704756783,0.020332423956148565,0.015937424601000002,0.015937424601000002,0.015937424601000002,0.14978352778858495,0.194,0.3,0.25,0.1,0.05706050657707568
2040,0.028950028704756783,0.020332423956148565,0.0185311670611,0.0185311670611,0.0185311670611,0.14978352778858495,0.194,0.3,0.25,0.1,0.05706050657707568
2041,0.028950028704756783,0.020332423956148565,0.02138428376721,0.02138428376721,0.02138428376721,0.14978352778858495,0.194,0.3,0.25,0.1,0.05706050657707568
2042,0.028950028704756783,0.020332423956148565,0.024522712143931,0.024522712143931,0.024522712143931,0.14978352778858495,0.194,0.3,0.25,0.1,0.05706050657707568
2043,0.028950028704756783,0.020332423956148565,0.027974983358324098,0.027974983358324098,0.027974983358324098,0.14978352778858495,0.194,0.3,0.25,0.1,0.05706050657707568
2044,0.028950028704756783,0.020332423956148565,0.03177248169415651,0.03177248169415651,0.03177248169415651,0.14978352778858495,0.194,0.3,0.25,0.1,0.05706050657707568
2045,0.024276207869791656,0.020332423956148565,0.03594972986357216,0.03594972986357216,0.03594972986357216,0.14978352778858495,0.194,0.3,0.25028377970009585,0.1,0.05706050657707568
2046,0.01665134283984986,0.020332423956148565,0.04054470284992938,0.04054470284992938,0.04054470284992938,0.14978352778858495,0.194,0.3,0.25528037058346015,0.1,0.05706050657707568
2047,0.014282914799098762,0.020332423956148565,0.045599173134922316,0.045599173134922316,0.045599173134922316,0.14978352778858495,0.194,0.3,0.26027696146682455,0.1,0.05706050657707568
2048,0.014282914799098762,0.020332423956148565,0.051159090448414546,0.051159090448414546,0.051159090448414546,0.14978352778858495,0.194,0.3,0.26527355234962513,0.1,0.05706050657707568
2049,0.014282914799098762,0.020332423956148565,0.051159090448414546,0.057274999493256,0.057274999493256,0.14978352778858495,0.194,0.3,0.2702701432329895,0.1,0.05706050657707568
2050,0.014282914799098762,0.005281196558976643,0.051159090448414546,0.057274999493256,0.057274999493256,0.14978352778858495,0.194,0.2799424,0.2752667341163538,0.1,0.05706050657707568
