YEAR,Cost of electricity generation
2023,198.6498354433588
2024,198.471572929561
2025,194.71800225879977
2026,193.70545943432873
2027,191.90660741821895
2028,187.37187540545062
2029,182.13850016999118
2030,171.38885420927897
2031,166.6931319167599
2032,163.7559674758797
2033,161.20901420418562
2034,160.13947706071497
2035,160.2124714974471
2036,159.9328634229318
2037,159.70559754745196
2038,158.13355769251402
2039,155.13654337015058
2040,153.43910814351247
2041,150.75833004229054
2042,148.36481582618663
2043,146.4601040082322
2044,144.96438763964804
2045,143.2608192774951
2046,142.236944002791
2047,140.3006907604701
2048,137.7496092529352
2049,136.36476507071666
2050,138.8919297969809
