YEAR,HTI
2023,0.7586899428028605
2024,0.7475788316915272
2025,0.6485063040000001
2026,0.5873264640000002
2027,0.5389227741799685
2028,0.47720275200000006
2029,0.42825887999999995
2030,0.37578297600000005
2031,0.36303107904000004
2032,0.36527620425427204
2033,0.36630270735194886
2034,0.3718588989665256
2035,0.3393927992110982
2036,0.3407679025193424
2037,0.33065018989049955
2038,0.3446429042287302
2039,0.357038452840166
2040,0.37108888763462544
2041,0.3848487699989078
2042,0.40058549706320323
2043,0.4172126167214667
2044,0.43345913932562974
2045,0.4518954897558427
2046,0.4730662578107495
2047,0.49282756845629727
2048,0.5161846909899344
2049,0.521326517966378
2050,0.5819590583684012
