YEAR,battery-technology,bioenergy-power,coal-subcritical,gas-CCGT,gas-OCGT,hydropower,oil-internal-combustion-engine,solar-pv,windonshore-power
2023,0.0,0.075,0.15,0.0,0.0,0.152,0.221,0.06,0.0
2024,0.0,0.075,0.15,0.0,0.0,0.152,0.221,0.06,0.09999999999999995
2025,0.0,0.075,0.15,0.0,0.0,0.152,0.221,0.08499999999999999,0.09999999999999995
2026,0.0,0.075,0.15,0.0,0.0,0.187,0.221,0.08499999999999999,0.09999999999999995
2027,0.0,0.075,0.15,0.0,0.0,0.307,0.221,0.08499999999999999,0.09999999999999995
2028,0.0,0.075,0.15,0.0,0.0,0.307,0.221,0.08499999999999999,0.09999999999999995
2029,0.0,0.075,0.15,0.0,0.0,0.307,0.221,0.08499999999999999,0.09999999999999995
2030,0.0,0.075,0.15,0.0,0.0,0.511,0.221,0.08499999999999999,0.33999999999999997
2031,0.0,0.075,0.15,0.0,0.0,0.511,0.221,0.08499999999999999,0.33999999999999997
2032,0.0,0.075,0.15,0.0,0.0,0.511,0.221,0.08499999999999999,0.33999999999999997
2033,0.0,0.075,0.15,0.0,0.0,0.511,0.221,0.08499999999999999,0.33999999999999997
2034,0.0,0.075,0.15,0.0,0.0,0.511,0.221,0.08499999999999999,0.33999999999999997
2035,0.0,0.075,0.15,0.0,0.0,0.511,0.221,0.15654379518449268,0.33999999999999997
2036,0.02887295495687474,0.075,0.15,0.0,0.0,0.511,0.221,0.3282407386599025,0.33999999999999997
2037,0.081124221567732,0.075,0.15,0.0,0.0,0.511,0.221,0.526288662362674,0.33999999999999997
2038,0.1364443634888295,0.075,0.15,0.0,0.0,0.511,0.221,0.7937818374111292,0.33999999999999997
2039,0.19399105010097703,0.075,0.15,9.04298939492363e-05,0.0,0.511,0.221,0.9471345092202748,0.33999999999999997
2040,0.2273677430838376,0.075,0.15,0.027721055348430407,0.0,0.511,0.221,1.060683868860575,0.33999999999999997
2041,0.26361921680725353,0.075,0.15,0.055710287941604916,0.0,0.511,0.221,1.1470289042323365,0.33999999999999997
2042,0.2820385426602344,0.075,0.03,0.22493642584306323,0.0,0.511,0.221,1.31636691301629,0.33999999999999997
2043,0.3321763848159648,0.075,0.03,0.24602925701559258,0.0,0.511,0.221,1.4345047592033406,0.33999999999999997
2044,0.36144039559644847,0.075,0.03,0.291771145250837,0.0,0.511,0.221,1.4345047592033406,0.33999999999999997
2045,0.3922553989576864,0.075,0.03,0.3399373535588024,0.0,0.511,0.221,1.4345047592033406,0.33999999999999997
2046,0.4247035974863521,0.075,0.03,0.3906563709104006,0.0,0.511,0.221,1.4345047592033406,0.33999999999999997
2047,0.45829810283551536,0.075,0.03,0.4446369438869602,0.0,0.511,0.221,1.4345047592033406,0.33999999999999997
2048,0.4781326431697536,0.075,0.03,0.5170189610311593,0.0,0.511,0.221,1.4345047592033406,0.33999999999999997
2049,0.4990184141407644,0.075,0.03,0.5932372250829796,0.0,0.511,0.221,1.4345047592033406,0.33999999999999997
2050,0.5779649746231793,0.075,0.03,0.5932372250829796,0.02330398839632674,0.511,0.221,1.4095047592033407,0.33999999999999997
