YEAR,Cost of electricity generation
2023,96.48705708723587
2024,89.91802739935552
2025,87.34885997891168
2026,85.13472960346132
2027,87.65105327388743
2028,82.12456170526967
2029,80.6889254892996
2030,101.68284912616352
2031,96.61847658744024
2032,92.57368235784465
2033,89.01455697958421
2034,86.26642693973898
2035,84.93771328410753
2036,81.23806586049838
2037,80.16435265856998
2038,79.43364779105714
2039,78.77419470961709
2040,78.44098875829059
2041,77.55535819116653
2042,78.2269618354827
2043,78.33808096138702
2044,79.054794117639
2045,79.3883014882974
2046,79.1992820224947
2047,79.00277601169809
2048,79.36692728546902
2049,79.55772349118311
2050,81.00267710469524
