YEAR,battery-technology,bioenergy-power,coal-subcritical,gas-CCGT,gas-OCGT,hydropower,oil-internal-combustion-engine,solar-pv,windonshore-power
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21999999999999992
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2175,0.0
2026,0.0,0.0,0.0,0.0,0.0,0.05600000000000001,0.0,0.0,0.0
2027,0.0,0.0,0.0,0.0,0.0,0.192,0.0,0.0,0.0
2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,0.0,0.0,0.0,0.0,0.0,0.3264,0.0,0.0,0.528
2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6224310181050863,0.0
2036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4937634082360653,0.0
2037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7230169362141121,0.0
2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3271906229215604,0.0
2039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3341682447395655,0.0
2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9878794288706139,0.0
2041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7512018077343231,0.0
2042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4732406764203965,0.0
2043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3757992618273391,0.0
2044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
