YEAR,battery-technology,bioenergy-power,coal-subcritical,coal-supercritical,coal-supercritical-CCS,coal-ultrasupercritical,gas-CCGT,gas-CCGT-CCS,gas-OCGT,geo-power,hydropower,nuclear-power,oil-internal-combustion-engine,solar-pv,transmission,windoffshore-power,windonshore-power
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.401178861545919
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9997180371650725,0.0,0.0,14.401178861545919
2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.508717501116434,0.0,0.0,2.9997180371650725,0.0,0.0,14.401178861545919
2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.84880212493272,0.0,0.0,2.9997180371650725,0.0,0.0,14.401178861545919
2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.84880212493272,0.0,0.0,2.9997180371650725,0.0,0.0,14.401178861545919
2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.84880212493272,0.0,0.0,2.9997180371650725,0.0,0.0,14.401178861545919
2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.12684659485036,0.0,0.0,2.9997180371650725,0.0,0.0,45.77590015674339
2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.12684659485036,0.0,0.0,2.9997180371650725,0.0,0.0,45.77590015674339
2032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.12684659485036,0.0,0.0,2.9997180371650725,0.3131239199101882,0.0,45.77590015674339
2033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.12684659485036,0.0,0.0,2.9997180371650725,1.3971161872233266,0.0,45.77590015674339
2034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.12684659485036,0.0,0.0,2.9997180371650725,2.538560044670285,0.0,45.77590015674339
2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.12684659485036,0.0,0.0,9.664079697678105,3.7405004265606383,0.0,45.77590015674339
2036,3.5806832141060556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.12684659485036,0.0,0.0,25.257944424377612,5.006143648675266,0.0,45.77590015674339
2037,9.892152112127036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.12684659485036,0.0,0.0,42.795380778131666,6.338865961520944,0.0,45.77590015674339
2038,16.400576538800223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.12684659485036,0.0,0.0,65.89012387692019,7.7422225570254755,0.0,45.77590015674339
2039,22.994924517147474,0.0,0.0,0.0,0.0,0.0,0.012123255130063064,0.0,0.0,0.0,117.12684659485036,0.0,0.0,78.79923658361224,9.21995705209589,0.0,45.77590015674339
2040,26.720160578347723,0.0,0.0,0.0,0.0,0.0,3.716353207848247,0.0,0.0,0.0,117.12684659485036,0.0,0.0,88.11877387940707,10.776011475309277,0.0,45.77590015674339
2041,30.661057884345894,0.0,0.0,0.0,0.0,0.0,7.468658920074473,0.0,0.0,0.0,117.12684659485036,0.0,0.0,95.02835386737776,12.414536783005769,0.0,45.77590015674339
2042,32.61136111089325,0.0,0.0,0.0,0.0,0.0,30.15553330263522,0.0,0.0,0.0,117.12684659485036,0.0,0.0,108.24049917332658,14.139903932088469,0.0,45.77590015674339
2043,37.782104720626926,0.0,0.0,0.0,0.0,0.0,32.98329039215993,0.0,0.0,0.0,117.12684659485036,0.0,0.0,120.2703246789357,15.956715539940813,0.0,45.77590015674339
2044,40.72165010763001,0.0,0.0,0.0,0.0,0.0,39.115561005216215,0.0,0.0,0.0,117.12684659485036,0.0,0.0,120.2703246789357,17.869818163036634,0.0,45.77590015674339
2045,43.73651252745745,0.0,0.0,0.0,0.0,0.0,45.57284196026216,0.0,0.0,0.0,117.12684659485036,0.0,0.0,120.2703246789357,19.884315225300437,0.0,45.77590015674339
2046,46.82862175118436,0.0,0.0,0.0,0.0,0.0,52.37235880636937,0.0,0.0,0.0,117.12684659485036,0.0,0.0,120.2703246789357,22.00558063167529,0.0,45.77590015674339
2047,49.94673183335222,0.0,0.0,0.0,0.0,0.0,59.60912786228781,0.0,0.0,0.0,117.12684659485036,0.0,0.0,120.2703246789357,24.239273104685058,0.0,45.77590015674339
2048,51.73983092144099,0.0,0.0,0.0,0.0,0.0,69.31284001261191,0.0,0.0,0.0,117.12684659485036,0.0,0.0,120.2703246789357,26.591351278801362,0.0,45.77590015674339
2049,53.57887279428183,0.0,0.0,0.0,0.0,0.0,79.53084890676627,0.0,0.0,0.0,117.12684659485036,0.0,0.0,120.2703246789357,29.06808959609573,0.0,45.77590015674339
2050,60.3495682045043,0.0,0.0,0.0,0.0,0.0,79.53084890676627,0.0,1.822444337605748,0.0,117.12684659485036,0.0,0.0,117.27060664177063,31.676095044199087,0.0,45.77590015674339
