YEAR,battery-technology,bioenergy-power,coal-subcritical,coal-supercritical,coal-supercritical-CCS,coal-ultrasupercritical,gas-CCGT,gas-CCGT-CCS,gas-OCGT,geo-power,hydropower,nuclear-power,oil-internal-combustion-engine,solar-pv,windoffshore-power,windonshore-power
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.09840000000004
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.26285937500003,0.0,0.0
2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.05783216500014,0.0,0.0,0.0,0.0,0.0
2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.6994011491604,0.0,0.0,0.0,0.0,0.0
2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599.2630913919007,0.0,0.0,0.0,0.0,268.18484993596877
2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.125552257836304,0.0,0.0
2036,25.74822598527324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.32754706361905,0.0,0.0
2037,45.38494967805727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.6958110441636,0.0,0.0
2038,46.801231196848946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.49802947407505,0.0,0.0
2039,47.41909625043576,0.0,0.0,0.0,0.0,0.0,0.10851587273908367,0.0,0.0,0.0,0.0,0.0,0.0,108.71725106316758,0.0,0.0
2040,26.787686655553507,0.0,0.0,0.0,0.0,0.0,33.156750545377434,0.0,0.0,0.0,0.0,0.0,0.0,78.48676349802433,0.0,0.0
2041,28.338478539472906,0.0,0.0,0.0,0.0,0.0,33.587079111809444,0.0,0.0,0.0,0.0,0.0,0.0,58.19071839878135,0.0,0.0
2042,14.024376135571073,0.0,0.0,0.0,0.0,0.0,203.07136548175015,0.0,0.0,0.0,0.0,0.0,0.0,111.26931423917833,0.0,0.0
2043,37.182142908045265,0.0,0.0,0.0,0.0,0.0,25.31139740703527,0.0,0.0,0.0,0.0,0.0,0.0,101.31211876873749,0.0,0.0
2044,21.137887490395887,0.0,0.0,0.0,0.0,0.0,54.89026588229334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2045,21.67948245028005,0.0,0.0,0.0,0.0,0.0,57.79944996955854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2046,22.234954142276745,0.0,0.0,0.0,0.0,0.0,60.86282082191796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2047,22.42192292418722,0.0,0.0,0.0,0.0,0.0,64.77668757187152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2048,12.893941679122726,0.0,0.0,0.0,0.0,0.0,86.85842057303906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2049,13.224310252228694,0.0,0.0,0.0,0.0,0.0,91.46191686218438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050,48.68718763309651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.312791877428733,0.0,0.0,0.0,0.0,0.0,0.0,0.0
