YEAR,battery-technology,bioenergy-power,coal-subcritical,gas-CCGT,hydropower,oil-internal-combustion-engine,solar-pv,windonshore-power
2023,0.0,0.075,0.15,0.0,0.152,0.221,0.06,0.0
2024,0.0,0.075,0.15,0.0,0.16196705961200603,0.221,0.06,0.09999999999999995
2025,0.0,0.075,0.15,0.0,0.16196705961200603,0.221,0.08499999999999999,0.09999999999999995
2026,0.0,0.075,0.15,0.0,0.19696705961200603,0.221,0.08499999999999999,0.09999999999999995
2027,0.0,0.075,0.15,0.0,0.316967059612006,0.221,0.08499999999999999,0.09999999999999995
2028,0.0,0.075,0.15,0.0,0.316967059612006,0.221,0.08499999999999999,0.09999999999999995
2029,0.0,0.075,0.15,0.0,0.316967059612006,0.221,0.08499999999999999,0.09999999999999995
2030,0.0,0.075,0.15,0.0,0.520967059612006,0.221,0.08499999999999999,0.33999999999999997
2031,0.0,0.075,0.15,0.0,0.520967059612006,0.221,0.08499999999999999,0.33999999999999997
2032,0.0,0.075,0.15,0.0,0.520967059612006,0.221,0.08499999999999999,0.33999999999999997
2033,0.0,0.075,0.15,0.0,0.520967059612006,0.221,0.08499999999999999,0.33999999999999997
2034,0.0,0.075,0.15,0.0,0.520967059612006,0.221,0.08499999999999999,0.33999999999999997
2035,0.0,0.075,0.15,0.0,0.520967059612006,0.221,0.14870752159729866,0.33999999999999997
2036,0.0,0.075,0.15,0.0,0.5398729549568747,0.221,0.27906302543777306,0.33999999999999997
2037,0.0,0.075,0.15,0.0,0.592124221567732,0.221,0.3386572034841334,0.33999999999999997
2038,0.03189291988631427,0.075,0.15,0.0,0.6152518854257101,0.221,0.49294199764294083,0.33999999999999997
2039,0.05013614804781158,0.075,0.15,0.0,0.6716680716792266,0.221,0.5725823455481112,0.33999999999999997
2040,0.053613057661893004,0.075,0.15,0.0,0.712475740770375,0.221,0.5840327056475805,0.4450792437419215
2041,0.08971610526541449,0.075,0.15,0.0,0.740613399483444,0.221,0.6568618545378551,0.5459606766548115
2042,0.24986865584459064,0.075,0.03,0.02749291317526318,0.740613399483444,0.221,0.8624630914150309,0.8472126382200076
2043,0.311524029634428,0.075,0.03,0.037068212713685655,0.740613399483444,0.221,1.0719829190911156,0.8472126382200076
2044,0.35299792028773846,0.075,0.03,0.070600221076103,0.740613399483444,0.221,1.181640666190133,0.8472126382200076
2045,0.511495185177013,0.075,0.03,0.09043960933549419,0.740613399483444,0.221,1.4423667672846736,0.8472126382200076
2046,0.5271622792263793,0.075,0.03,0.13170499624943488,0.740613399483444,0.221,1.525601388576058,0.8472126382200076
2047,0.5271622792263793,0.075,0.03,0.1810762122439496,0.740613399483444,0.221,1.5661397249739972,0.8472126382200076
2048,0.56040080617156,0.075,0.03,0.20513739854590918,0.740613399483444,0.221,1.5661397249739972,0.8472126382200076
2049,0.5947676507419508,0.13773719045243998,0.03,0.20513739854590918,0.740613399483444,0.221,1.5661397249739972,0.8472126382200076
2050,0.6269944024594398,0.20776098761369283,0.03,0.20513739854590918,0.740613399483444,0.221,1.5411397249739973,0.8472126382200076
