YEAR,Cost of electricity generation
2023,96.4870570872358
2024,89.91802739935552
2025,87.34885997891168
2026,85.13472960346134
2027,87.6510532738874
2028,82.12456170526967
2029,80.6889254892996
2030,101.68284912616348
2031,96.61847658744024
2032,92.57368235784463
2033,89.01455697958417
2034,86.26642693973895
2035,84.93771328410752
2036,81.23806586049838
2037,80.16435265856998
2038,79.43364779105713
2039,78.59454355315894
2040,78.4409887582905
2041,78.56527818095228
2042,79.5370280899002
2043,79.56143044859714
2044,79.6666131973774
2045,78.7965403311976
2046,79.25796402535528
2047,79.5004868599548
2048,79.51252850595499
2049,81.31906836498791
2050,83.2732081523054
