YEAR,carbon-capture-and-storage-transmission-and-distribution,coal-subcritical,coal-supercritical,coal-supercritical-CCS,coal-ultrasupercritical,gas-CCGT,gas-CCGT-CCS,gas-OCGT,oil-internal-combustion-engine
2023,0.0,1.0077171120004031,0.0,0.0,0.0,0.0,0.0,0.0,0.14882018442611158
2024,0.0,0.8162508607203265,0.0,0.0,0.0,0.0,0.0,0.0,0.011397913306316995
2025,0.0,0.7860193473603143,0.0,0.0,0.0,0.0,0.0,0.0,0.03464142077238433
2026,0.0,0.7557878340003024,0.0,0.0,0.0,0.0,0.0,0.0,0.040484778743946515
2027,0.0,0.7255563206402903,0.0,0.0,0.0,0.0,0.0,0.0,0.00020175855103098022
2028,0.0,0.6852476361602742,0.0,0.0,0.0,0.0,0.0,0.0,0.025214722540003197
2029,0.0,0.7155029241216752,0.0,0.0,0.0,0.0,0.0,0.0,0.038231266558395594
2030,0.0,0.6247846094402499,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2031,0.0,0.5945530960802379,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2032,0.0,0.5643215827202257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2033,0.0,0.5340900693602137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2034,0.0,0.5038585560002017,0.0,0.0,0.0,0.0,0.0,0.0,0.031666952205567915
2035,0.0,0.5998445094259403,0.0,0.0,0.0,0.0,0.0,0.0,0.07602672635643562
2036,0.0,0.9203185989875302,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2037,0.0,0.9956369928693534,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2038,0.0,1.0077171120004031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039,0.0,0.993478612719454,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2040,0.0,0.64879699597413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2041,0.0,0.6094533958985398,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2042,0.0,0.149291424,0.0,0.0,0.0,0.008198207273306949,0.0,0.0,0.0
2043,0.0,0.20154342240008064,0.0,0.0,0.0,0.0496837539153411,0.0,0.0,0.0
2044,0.0,0.18661428000000002,0.0,0.0,0.0,0.11606792220395383,0.0,0.0,0.0
2045,0.0,0.18661428000000002,0.0,0.0,0.0,0.18800147839854892,0.0,0.0,0.0
2046,0.0,0.18661428000000002,0.0,0.0,0.0,0.2773854023153766,0.0,0.0,0.0
2047,0.0,0.20154342240008064,0.0,0.0,0.0,0.3895770982592718,0.0,0.0,0.0
2048,0.0,0.1210992509369041,0.0,0.0,0.0,0.4818501913556196,0.0,0.0,0.017050557707679853
2049,0.0,0.048382405797399095,0.0,0.0,0.0,0.5068805373800813,0.0,-4.263093461045832e-16,0.014737056822740008
2050,0.0,0.018661428,0.0,0.0,0.0,0.5068805373800813,0.0,-4.263093461045832e-16,0.0044580346201581675
