YEAR,MDG
2023,1.1565372964265133
2024,0.8276487740266435
2025,0.8206607681326986
2026,0.7962726127442489
2027,0.7257580791913212
2028,0.7104623587002774
2029,0.7537341906800724
2030,0.6247846094402499
2031,0.5945530960802377
2032,0.5643215827202257
2033,0.5340900693602136
2034,0.5355255082057694
2035,0.6758712357823764
2036,0.9203185989875322
2037,0.9956369928693556
2038,1.007717112000403
2039,0.9934786127194486
2040,0.6487969959741222
2041,0.6094533958985208
2042,0.157489631273324
2043,0.25122717631541036
2044,0.3026822022039354
2045,0.3746157583985318
2046,0.46399968231535493
2047,0.5911205206593428
2048,0.6200000000002033
2049,0.5700000000002202
2050,0.5300000000002391
