YEAR,battery-technology,bioenergy-power,coal-subcritical,gas-CCGT,hydropower,oil-internal-combustion-engine,solar-pv,windonshore-power
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.328,0.0,0.0,0.04505751419923793
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.2175,0.024791506653510258
2026,0.0,0.0,0.0,0.0,0.05600000000000001,0.0,0.0,0.0
2027,0.0,0.0,0.0,0.0,0.192,0.0,0.0,0.0
2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1501509791472517
2030,0.0,0.0,0.0,0.0,0.3264,0.0,0.0,0.528
2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2037,0.0,0.0,0.0,0.0,0.0,0.0,1.011733940400815,0.0
2038,0.0,0.0,0.0,0.0,0.0,0.0,1.4621007510217536,0.0
2039,0.0,0.0,0.0,0.0,0.0,0.0,1.6986842906785737,0.0
2040,0.0,0.0,0.0,0.0,0.0,0.0,3.704807592840458,0.0
2041,0.0,0.0,0.0,0.0,0.0,0.0,0.2896885849994619,0.3831016050465228
2042,0.0,0.0,0.0,0.0,0.006366214023387078,0.0,0.0791070649023414,0.8924406420186093
2043,0.0,0.0,0.0,0.0,0.0,0.0,1.35068336106355,0.0
2044,0.0,0.0,0.0,0.0,0.0,0.0,1.1671880711986125,0.0
2045,0.0,0.0,0.0,0.0,0.0,0.0,1.258704765682036,0.0
2046,0.0,0.0,0.0,0.0,0.0,0.0,0.7409271810029516,0.0
2047,0.0,0.0,0.0,0.0,0.0,0.0,0.1489552062716475,0.0
2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2049,0.0,1.7196664439743377,0.0,0.0,0.0,0.0,0.0,0.0
2050,0.0,2.2491089072399784,0.0,0.0,0.0,0.0,0.0,0.0
