YEAR,battery-technology,bioenergy-power,coal-subcritical,coal-supercritical,coal-supercritical-CCS,coal-ultrasupercritical,gas-CCGT,gas-CCGT-CCS,gas-OCGT,geo-power,hydropower,nuclear-power,oil-internal-combustion-engine,solar-pv,transmission,windoffshore-power,windonshore-power
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2971266109940247,0.0,0.0,0.0,0.0,0.0,14.401178861545919
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2971266109940247,0.0,0.0,2.9997180371650725,0.0,0.0,14.401178861545919
2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.80584411211046,0.0,0.0,2.9997180371650725,0.0,0.0,14.401178861545919
2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.145928735926745,0.0,0.0,2.9997180371650725,0.0,0.0,14.401178861545919
2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.145928735926745,0.0,0.0,2.9997180371650725,0.0,0.0,14.401178861545919
2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.145928735926745,0.0,0.0,2.9997180371650725,0.0,0.0,14.401178861545919
2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.42397320584439,0.0,0.0,2.9997180371650725,0.0,0.0,45.77590015674339
2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.42397320584439,0.0,0.0,2.9997180371650725,0.0,0.0,45.77590015674339
2032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.42397320584439,0.0,0.0,2.9997180371650725,0.3131239199101882,0.0,45.77590015674339
2033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.42397320584439,0.0,0.0,2.9997180371650725,1.3971161872233266,0.0,45.77590015674339
2034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.42397320584439,0.0,0.0,2.9997180371650725,2.538560044670285,0.0,45.77590015674339
2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.42397320584439,0.0,0.0,8.934124554522569,3.7405004265606383,0.0,45.77590015674339
2036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.45661749291598,0.0,0.0,20.77327586451804,5.006143648675266,0.0,45.77590015674339
2037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.07935126799228,0.0,0.0,26.05042840922662,6.338865961520944,0.0,45.77590015674339
2038,3.752207633922513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.4148990740913,0.0,0.0,39.37102129725702,7.7422225570254755,0.0,45.77590015674339
2039,5.842722341678124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.25509698341133,0.0,0.0,46.0750859540992,9.21995705209589,0.0,45.77590015674339
2040,6.230786823757317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.12078129011113,0.0,0.0,47.014871597411734,10.776011475309277,0.0,57.46649360393707
2041,10.155548727909629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.96530026088217,0.0,0.0,52.84287117545989,12.414536783005769,0.0,68.51048246541268
2042,27.11306599143135,0.0,0.0,0.0,0.0,0.0,3.685767904134566,0.0,0.0,0.0,189.96530026088217,0.0,0.0,68.88435788131667,14.139903932088469,0.0,100.9623503717915
2043,33.47161905877962,0.0,0.0,0.0,0.0,0.0,4.969456230875672,0.0,0.0,0.0,189.96530026088217,0.0,0.0,87.86577225812863,15.956715539940813,0.0,100.9623503717915
2044,37.637636658537836,0.0,0.0,0.0,0.0,0.0,9.46484016474599,0.0,0.0,0.0,189.96530026088217,0.0,0.0,95.99908445933676,17.869818163036634,0.0,100.9623503717915
2045,53.1446103868351,0.0,0.0,0.0,0.0,0.0,12.12455759876172,0.0,0.0,0.0,189.96530026088217,0.0,0.0,114.85368127919092,19.884315225300437,0.0,100.9623503717915
2046,54.637585905221584,0.0,0.0,0.0,0.0,0.0,17.656697378548486,0.0,0.0,0.0,189.96530026088217,0.0,0.0,120.72237389888348,22.00558063167529,0.0,100.9623503717915
2047,54.637585905221584,0.0,0.0,0.0,0.0,0.0,24.2755246428926,0.0,0.0,0.0,189.96530026088217,0.0,0.0,123.50918732031224,24.239273104685058,0.0,100.9623503717915
2048,57.64244366095877,0.0,0.0,0.0,0.0,0.0,27.501226758991322,0.0,0.0,0.0,189.96530026088217,0.0,0.0,123.50918732031224,26.591351278801362,0.0,100.9623503717915
2049,60.66852616900146,14.722379929945074,0.0,0.0,0.0,0.0,27.501226758991322,0.0,0.0,0.0,189.96530026088217,0.0,0.0,123.50918732031224,29.06808959609573,0.0,100.9623503717915
2050,63.43238970664836,31.006798885657673,0.0,0.0,0.0,0.0,27.501226758991322,0.0,0.0,0.0,189.96530026088217,0.0,0.0,120.50946928314717,31.676095044199087,0.0,100.9623503717915
