YEAR,battery-technology,bioenergy-power,coal-subcritical,coal-supercritical,coal-supercritical-CCS,coal-ultrasupercritical,gas-CCGT,gas-CCGT-CCS,gas-OCGT,geo-power,hydropower,nuclear-power,oil-internal-combustion-engine,solar-pv,windoffshore-power,windonshore-power
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.811475299510075,0.0,0.0,0.0,0.0,123.09840000000004
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.26285937500003,0.0,0.0
2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.05783216500014,0.0,0.0,0.0,0.0,0.0
2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.6994011491604,0.0,0.0,0.0,0.0,0.0
2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599.2630913919007,0.0,0.0,0.0,0.0,268.18484993596877
2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.978056425519995,0.0,0.0
2036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54507738801885,0.0,0.0,99.70630937913859,0.0,0.0
2037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.29699365916056,0.0,0.0,44.442831288032835,0.0,0.0
2038,26.981635717256367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.32547913104477,0.0,0.0,112.18263208496998,0.0,0.0
2039,15.032618609984253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.30488211725802,0.0,0.0,56.45992075534258,0.0,0.0
2040,2.7905210776730565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.32705539471014,0.0,0.0,7.914634727497852,0.0,99.92885736894073
2041,28.222450969244534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.96907305713027,0.0,0.0,49.081924352108075,0.0,94.40181054174703
2042,121.93929497316239,0.0,0.0,0.0,0.0,0.0,32.99149581031585,0.0,0.0,0.0,0.0,0.0,0.0,135.0973050783744,0.0,277.3920839878908
2043,45.723525798779704,0.0,0.0,0.0,0.0,0.0,11.490359446106986,0.0,0.0,0.0,0.0,0.0,0.0,159.85662525574782,0.0,0.0
2044,29.95728921079111,0.0,0.0,0.0,0.0,0.0,40.238410034900845,0.0,0.0,0.0,0.0,0.0,0.0,68.4966786365947,0.0,0.0
2045,111.50862559718942,0.0,0.0,0.0,0.0,0.0,23.807265911269475,0.0,0.0,0.0,0.0,0.0,0.0,158.78860017205247,0.0,0.0
2046,10.735792232738163,0.0,0.0,0.0,0.0,0.0,49.518464296728865,0.0,0.0,0.0,0.0,0.0,0.0,49.42463075846577,0.0,0.0
2047,0.0,0.0,0.0,0.0,0.0,0.0,59.2454591934177,0.0,0.0,0.0,0.0,0.0,0.0,23.469831063339793,0.0,0.0
2048,21.607540215656275,0.0,0.0,0.0,0.0,0.0,28.873423562351537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2049,21.760164641266098,123.98812462621405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050,19.874582224821573,137.14321845747318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
