YEAR,battery-technology,bioenergy-power,coal-subcritical,gas-CCGT,gas-OCGT,hydropower,oil-internal-combustion-engine,solar-pv,transmission,windonshore-power,battery-storage
2023,0.0,0.075,0.15,0.0,0.0,0.152,0.221,0.06,0.658,0.0,0.0
2024,0.0,0.075,0.15,0.0,0.0,0.357,0.221,0.06,0.658,0.020480688272380875,0.0
2025,0.0,0.075,0.15,0.0,0.0,0.357,0.221,0.08499999999999999,0.658,0.03174955493306684,0.0
2026,0.0,0.075,0.15,0.0,0.0,0.392,0.221,0.08499999999999999,0.658,0.03174955493306684,0.0
2027,0.0,0.075,0.15,0.0,0.0,0.512,0.221,0.08499999999999999,0.658,0.03174955493306684,0.0
2028,0.0,0.075,0.15,0.0,0.0,0.512,0.221,0.08499999999999999,0.658,0.03174955493306684,0.0
2029,0.0,0.075,0.15,0.0,0.0,0.512,0.221,0.08499999999999999,0.658,0.09999999999999995,0.0
2030,0.0,0.075,0.15,0.0,0.0,0.716,0.221,0.08499999999999999,0.658,0.33999999999999997,0.0
2031,0.0,0.075,0.15,0.0,0.0,0.716,0.221,0.08499999999999999,0.658,0.33999999999999997,0.8634369883670043
2032,0.0,0.075,0.15,0.0,0.0,0.716,0.221,0.08499999999999999,0.6682303891214274,0.33999999999999997,0.8634369883670043
2033,0.0,0.075,0.15,0.0,0.0,0.716,0.221,0.08499999999999999,0.7036465997463218,0.33999999999999997,0.8634369883670043
2034,0.0,0.075,0.15,0.0,0.0,0.716,0.221,0.08499999999999999,0.740939869533232,0.33999999999999997,0.8634369883670043
2035,0.0,0.075,0.15,0.0,0.0,0.716,0.221,0.08499999999999999,0.7802096826188061,0.33999999999999997,0.8634369883670043
2036,0.1103720163411129,0.075,0.15,0.0,0.0,0.716,0.221,0.08499999999999999,0.8215607957973956,0.33999999999999997,0.881994052829965
2037,0.15280233320649428,0.075,0.15,0.0,0.0,0.716,0.221,0.20129125751733506,0.8651035179731101,0.33999999999999997,1.1634029864296558
2038,0.197481456870455,0.075,0.15,0.0,0.0,0.716,0.221,0.3693488151060423,0.910954004426687,0.33999999999999997,1.1634029864296558
2039,0.24452857408253015,0.075,0.15,0.0,0.0,0.716,0.221,0.5645998830001306,0.9592345666624387,0.33999999999999997,1.1634029864296558
2040,0.2940691885083714,0.075,0.15,0.0,0.0,0.716,0.221,0.9904398362001829,1.0100739986935565,0.33999999999999997,1.1634029864296558
2041,0.3462354555005919,0.075,0.15,0.0,0.0,0.716,0.221,1.1417012120369108,1.0636079206240487,0.33999999999999997,2.2733486953441084
2042,0.4045035811372794,0.075,0.03,0.11807555928213563,0.0,0.716,0.221,1.3755161033271128,1.1199791404194148,0.33999999999999997,2.2733486953441084
2043,0.440397585377456,0.075,0.03,0.1538743303401904,0.0,0.716,0.221,1.5164018154651504,1.1793380348596316,0.33999999999999997,2.2733486953441084
2044,0.4513889878950544,0.075,0.03,0.1930539628110174,0.0,0.716,0.221,1.5164018154651504,1.2418429507060713,0.33999999999999997,2.2733486953441084
2045,0.47595051129688093,0.075,0.03,0.23431011580019384,0.0,0.716,0.221,1.5164018154651504,1.3076606270970743,0.33999999999999997,2.2733486953441084
2046,0.5018137954293013,0.075,0.03,0.27775284490132696,0.0,0.716,0.221,1.5164018154651504,1.3769666403306275,0.33999999999999997,2.2547916308811478
2047,0.5290478336248026,0.075,0.03,0.323498038643928,0.0,0.716,0.221,1.5164018154651504,1.4499458722687302,0.33999999999999997,1.973382697281457
2048,0.5409148131877753,0.075,0.03,0.38847819031298647,0.0,0.716,0.221,1.5164018154651504,1.5267930035007613,0.33999999999999997,1.973382697281457
2049,0.5409148131877753,0.075,0.03,0.44473041426563154,0.0,0.716,0.221,1.5164018154651504,1.6077130326864535,0.33999999999999997,1.973382697281457
2050,0.5409148131877753,0.075,0.03,0.44473041426563154,0.003860960649079296,0.716,0.221,1.4914018154651505,1.6929218234187386,0.33999999999999997,1.973382697281457
