YEAR,Cost of electricity generation
2023,114.90347371218311
2024,110.57351915244755
2025,105.35602955290838
2026,101.58385802753622
2027,100.15388234588885
2028,94.82879479223804
2029,89.17197434167274
2030,103.66169357617314
2031,97.24724535027288
2032,92.37742138777075
2033,89.38242637721852
2034,86.97989189703733
2035,85.11645298898748
2036,83.9200618046275
2037,81.57208469767889
2038,79.34625675230093
2039,77.73177256730617
2040,77.0591706978018
2041,76.71558679947803
2042,80.53485575324616
2043,79.87879780706457
2044,79.34998149185081
2045,79.10410484822586
2046,78.86594735293681
2047,78.78528889981212
2048,79.10122258500725
2049,79.31027590054494
2050,79.69283249076113
