YEAR,battery-technology,bioenergy-power,coal-subcritical,gas-CCGT,gas-OCGT,hydropower,oil-internal-combustion-engine,solar-pv,windonshore-power
2023,0.0,1.4562341333310949,2.128680000000852,0.0,0.0,2.6364095999999995,3.4847280000013936,0.3737016,0.0
2024,0.0,1.4765293799978514,2.0435328000008166,0.0,0.0,2.6364095999999995,3.3453388800013384,0.3737016,0.7384679999999996
2025,0.0,2.1078976537712717,1.9583856000007835,0.0,0.0,2.6364095999999995,3.2059497600012827,0.5294106,0.7384679999999996
2026,0.0,2.1286800000008514,2.062279998106815,0.0,0.0,3.2434775999999994,3.066560640001227,0.5294106,0.7384679999999996
2027,0.0,0.0,2.8030290305254675,0.0,0.0,5.324853599999999,2.996866080001199,0.5294106,0.7384679999999996
2028,0.0,0.0,3.599227397985518,0.0,0.0,5.324853599999999,2.8574769600011427,0.5294106,0.7384679999999996
2029,0.0,0.17287665555831816,4.257360000001704,0.0,0.0,5.324853599999999,2.7180878400010866,0.5294106,0.7384679999999996
2030,0.0,0.0,1.5752232000006297,0.0,0.0,7.761164854150559,2.578698720001032,0.524943,2.029302926266664
2031,0.0,0.0,1.490076000000596,0.0,0.0,8.328347369833986,2.4393096000009757,0.5227092,2.4557651637222215
2032,0.0,0.0,1.8404112422201953,0.0,0.0,8.8631928,2.29992048000092,0.5294106,2.5107911999999994
2033,0.0,0.0,2.830117857296918,0.0,0.0,8.8631928,2.1605313600008635,0.5294106,2.5107911999999994
2034,0.0,0.0,3.7951967396325017,0.0,0.0,8.8631928,2.0908368000008366,0.5294106,2.5107911999999994
2035,0.0,0.1744650388444444,4.257360000001703,0.0,0.0,8.8631928,1.9514476800007807,0.9750111121752868,2.5107911999999994
2036,0.15175625125333364,0.23727397904666675,4.257360000001703,0.0,0.0,8.8631928,1.8120585600007248,2.0444014870397904,2.5107911999999994
2037,0.7292082535945957,0.18857846834000055,4.257360000001703,0.0,0.0,8.8631928,1.6726694400006692,3.2779152531131843,2.5107911999999994
2038,1.434303148994576,0.13572761779160092,3.884393058383137,0.0,0.0,8.8631928,1.5332803200006133,4.94395904485798,2.5107911999999994
2039,1.9702384995076188,0.3823295407635698,3.979562294248482,0.0016635483290901203,0.0,8.8631928,1.3938912000005574,5.899094691847192,2.5107911999999994
2040,2.2941721396665598,0.3186593778849302,4.02648929371556,0.601492821709212,0.0,8.8631928,1.3241966400005298,6.606320981456452,2.5107911999999994
2041,2.469173965795339,0.4233286310421071,4.09949023605228,1.310734366773981,0.0,8.8631928,1.184807520000474,7.144108945964515,2.5107911999999994
2042,2.3413122999526603,0.41615108991512373,0.8514720000003405,5.131822242022218,0.0,8.8631928,1.045418400000418,8.07103801398414,2.5107911999999994
2043,2.7356976553548376,0.5675312058100921,0.8305014065148745,5.866654654954073,0.0,8.8631928,0.9060292800003624,8.770349143187275,2.5107911999999994
2044,2.871484338232616,0.6056748174968143,0.8514720000003405,7.283364284537504,0.0,8.8631928,0.7666401600003067,8.93461206203172,2.5107911999999994
2045,3.014467715399283,0.638452417241314,0.8514720000003405,8.970210412970843,0.0,8.8631928,0.6272510400002509,8.93461206203172,2.5107911999999994
2046,3.165029211465948,0.6655796064080357,0.8514720000003405,10.746459386204172,0.0,8.8631928,0.48786192000019524,8.93461206203172,2.5107911999999994
2047,3.314528343429333,0.6140483121077113,0.8514720000003405,12.619863596182311,0.0,8.8631928,0.41816736000016724,8.93461206203172,2.5107911999999994
2048,3.2269087385173743,0.5441058772134111,0.8514720000003405,14.674238959576659,0.0,8.8631928,0.27877824000011153,8.93461206203172,2.5107911999999994
2049,3.1842506574977514,0.463068869932662,0.8514720000003405,16.8374962172019,0.0,8.8631928,0.13938912000005577,8.93461206203172,2.5107911999999994
2050,3.6798713741335614,2.1286800000008514,0.8514720000003405,16.83749621720189,0.5217969349259054,8.8631928,0.15349123526151393,8.77890306203172,2.5107911999999994
