YEAR,battery-technology,bioenergy-power,coal-subcritical,gas-CCGT,gas-OCGT,hydropower,oil-internal-combustion-engine,solar-pv,windonshore-power
2023,0.0,0.075,0.15,0.0,0.0,0.152,0.221,0.06,0.0
2024,0.0,0.075,0.15,0.0,0.0,0.152,0.221,0.06,0.09999999999999995
2025,0.0,0.075,0.15,0.0,0.0,0.152,0.221,0.08499999999999999,0.09999999999999995
2026,0.0,0.075,0.15,0.0,0.0,0.187,0.221,0.08499999999999999,0.09999999999999995
2027,0.0,0.075,0.15,0.0,0.0,0.307,0.221,0.08499999999999999,0.09999999999999995
2028,0.0,0.075,0.15,0.0,0.0,0.307,0.221,0.08499999999999999,0.09999999999999995
2029,0.0,0.075,0.15,0.0,0.0,0.307,0.221,0.08499999999999999,0.09999999999999995
2030,0.0,0.075,0.15,0.0,0.0,0.511,0.221,0.08499999999999999,0.33999999999999997
2031,0.0,0.075,0.15,0.0,0.0,0.511,0.221,0.08499999999999999,0.33999999999999997
2032,0.0,0.075,0.15,0.0,0.0,0.511,0.221,0.08499999999999999,0.33999999999999997
2033,0.0,0.075,0.15,0.0,0.0,0.511,0.221,0.08499999999999999,0.33999999999999997
2034,0.0,0.075,0.15,0.0,0.0,0.511,0.221,0.08499999999999999,0.33999999999999997
2035,0.0,0.075,0.15,0.0,0.0,0.511,0.221,0.15654379518449268,0.33999999999999997
2036,0.02887295495687474,0.075,0.15,0.0,0.0,0.511,0.221,0.3282407386599025,0.33999999999999997
2037,0.081124221567732,0.075,0.15,0.0,0.0,0.511,0.221,0.526288662362674,0.33999999999999997
2038,0.13644436348882955,0.075,0.15,0.0,0.0,0.511,0.221,0.7937818374111292,0.33999999999999997
2039,0.19399105010097706,0.075,0.15,9.04298939492354e-05,0.0,0.511,0.221,0.947134509220275,0.33999999999999997
2040,0.22736774308383764,0.075,0.15,0.027721055348430383,0.0,0.511,0.221,1.0606838688605753,0.33999999999999997
2041,0.2636192168072534,0.075,0.15,0.055710287941604986,0.0,0.511,0.221,1.1470289042323367,0.33999999999999997
2042,0.2820385426602337,0.075,0.03,0.22493642584306392,0.0,0.511,0.221,1.3163669130162903,0.33999999999999997
2043,0.3321763848159648,0.075,0.03,0.24602925701559258,0.0,0.511,0.221,1.434504759203341,0.33999999999999997
2044,0.3614403955964485,0.075,0.03,0.2917711452508369,0.0,0.511,0.221,1.434504759203341,0.33999999999999997
2045,0.3922553989576865,0.075,0.03,0.3399373535588024,0.0,0.511,0.221,1.434504759203341,0.33999999999999997
2046,0.424703597486352,0.075,0.03,0.39065637091040084,0.0,0.511,0.221,1.434504759203341,0.33999999999999997
2047,0.4582981028355154,0.075,0.03,0.4446369438869603,0.0,0.511,0.221,1.434504759203341,0.33999999999999997
2048,0.4781326431697532,0.075,0.03,0.5170189610311597,0.0,0.511,0.221,1.434504759203341,0.33999999999999997
2049,0.49901841414076414,0.075,0.03,0.5932372250829795,0.0,0.511,0.221,1.434504759203341,0.33999999999999997
2050,0.577964974623179,0.075,0.03,0.5932372250829795,0.02330398839632737,0.511,0.221,1.4095047592033407,0.33999999999999997
