YEAR,battery-technology,bioenergy-power,coal-subcritical,gas-CCGT,gas-OCGT,hydropower,oil-internal-combustion-engine,solar-pv,windonshore-power
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,0.328,0.0,0.0,0.04505751419923793
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2175,0.024791506653509116
2026,0.0,0.0,0.0,0.0,0.0,0.05600000000000001,0.0,0.0,0.0
2027,0.0,0.0,0.0,0.0,0.0,0.192,0.0,0.0,0.0
2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15015097914725284
2030,0.0,0.0,0.0,0.0,0.0,0.3264,0.0,0.0,0.528
2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.011733940400815,0.0
2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4621007510217527,0.0
2039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6986842906785695,0.0
2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7048075928404547,0.0
2041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3159739697795318,0.0
2042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.034189554224757,0.0
2043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5737056956009277,0.0
2044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
