YEAR,battery-technology,bioenergy-power,coal-subcritical,coal-supercritical,coal-supercritical-CCS,coal-ultrasupercritical,gas-CCGT,gas-CCGT-CCS,gas-OCGT,geo-power,hydropower,nuclear-power,oil-internal-combustion-engine,solar-pv,transmission,windoffshore-power,windonshore-power
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.81447905053084,0.0,0.0,0.0,0.0,0.0,2.9494605501812305
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.81447905053084,0.0,0.0,2.9997180371650725,0.0,0.0,4.5463445993601415
2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.32319655164727,0.0,0.0,2.9997180371650725,0.0,0.0,4.5463445993601415
2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.66328117546355,0.0,0.0,2.9997180371650725,0.0,0.0,4.5463445993601415
2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.66328117546355,0.0,0.0,2.9997180371650725,0.0,0.0,4.5463445993601415
2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.66328117546355,0.0,0.0,2.9997180371650725,0.0,0.0,13.613666297565642
2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.9413256453812,0.0,0.0,2.9997180371650725,0.0,0.0,44.98838759276311
2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.9413256453812,0.0,0.0,2.9997180371650725,0.0,0.0,44.98838759276312
2032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.9413256453812,0.0,0.0,2.9997180371650725,0.3131239199101884,0.0,44.98838759276312
2033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.9413256453812,0.0,0.0,2.9997180371650725,1.397116187223328,0.0,44.98838759276312
2034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.9413256453812,0.0,0.0,2.9997180371650725,2.5385600446702865,0.0,44.98838759276312
2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.9413256453812,0.0,0.0,2.9997180371650725,3.7405004265606387,0.0,44.98838759276312
2036,13.68779977005998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.9413256453812,0.0,0.0,2.9997180371650725,5.006143648675268,0.0,44.98838759276312
2037,18.812988930036898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.9413256453812,0.0,0.0,13.297480765892661,6.338865961520945,0.0,44.98838759276312
2038,24.06949568722537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.9413256453812,0.0,0.0,27.807182247502347,7.742222557025477,0.0,44.98838759276312
2039,29.460684659850322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.9413256453812,0.0,0.0,44.243270460452905,9.21995705209589,0.0,44.98838759276312
2040,34.990006676502205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.9413256453812,0.0,0.0,79.19398562484633,10.776011475309279,0.0,44.98838759276312
2041,40.661000982061466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.9413256453812,0.0,0.0,91.29835932663971,12.41453678300577,0.0,44.98838759276312
2042,46.83063576354871,0.0,0.0,0.0,0.0,0.0,15.829501366061319,0.0,0.0,0.0,184.9413256453812,0.0,0.0,109.5411409714981,14.139903932088467,0.0,44.98838759276312
2043,50.53240442914404,0.0,0.0,0.0,0.0,0.0,20.62877311045974,0.0,0.0,0.0,184.9413256453812,0.0,0.0,123.30143685224864,15.956715539940816,0.0,44.98838759276312
2044,51.63648161151194,0.0,0.0,0.0,0.0,0.0,25.881291493513206,0.0,0.0,0.0,184.9413256453812,0.0,0.0,123.30143685224864,17.869818163036637,0.0,44.98838759276312
2045,54.03951928150051,0.0,0.0,0.0,0.0,0.0,31.412193350519352,0.0,0.0,0.0,184.9413256453812,0.0,0.0,123.30143685224864,19.88431522530044,0.0,44.98838759276312
2046,56.504127581744875,0.0,0.0,0.0,0.0,0.0,37.23623300642011,0.0,0.0,0.0,184.9413256453812,0.0,0.0,123.30143685224864,22.00558063167529,0.0,44.98838759276312
2047,59.031884076235194,0.0,0.0,0.0,0.0,0.0,43.368946763964004,0.0,0.0,0.0,184.9413256453812,0.0,0.0,123.30143685224864,24.23927310468506,0.0,44.98838759276312
2048,60.104692917486915,0.0,0.0,0.0,0.0,0.0,52.080346530908464,0.0,0.0,0.0,184.9413256453812,0.0,0.0,123.30143685224864,26.591351278801366,0.0,44.98838759276312
2049,60.104692917486915,0.0,0.0,0.0,0.0,0.0,59.62165873231595,0.0,0.0,0.0,184.9413256453812,0.0,0.0,123.30143685224864,29.068089596095742,0.0,44.98838759276312
2050,60.104692917486915,0.0,0.0,0.0,0.0,0.0,59.62165873231595,0.0,0.30193912531051026,0.0,184.9413256453812,0.0,0.0,120.30171881508358,31.676095044199098,0.0,44.98838759276312
