YEAR,battery-technology,bioenergy-power,coal-subcritical,coal-supercritical,coal-supercritical-CCS,coal-ultrasupercritical,gas-CCGT,gas-CCGT-CCS,gas-OCGT,geo-power,hydropower,nuclear-power,oil-internal-combustion-engine,solar-pv,windoffshore-power,windonshore-power
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.1550000000007,0.0,0.0,0.0,0.0,25.211399572288492
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.26285937500003,0.0,13.649845844519271
2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.05783216500014,0.0,0.0,0.0,0.0,0.0
2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.6994011491604,0.0,0.0,0.0,0.0,0.0
2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.50565450685319
2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599.2630913919007,0.0,0.0,0.0,0.0,268.18484993596877
2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2036,98.42718292762001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2037,36.854566801242285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.7251283186671,0.0,0.0
2038,37.798854515811854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.19700103865401,0.0,0.0
2039,38.76733676120986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.4205382154087,0.0,0.0
2040,39.76063346493021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.3459989620213,0.0,0.0
2041,40.779380416983486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.9399446422143,0.0,0.0
2042,44.36503904464917,0.0,0.0,0.0,0.0,0.0,141.6906711385628,0.0,0.0,0.0,0.0,0.0,0.0,153.636048986273,0.0,0.0
2043,26.618935674471924,0.0,0.0,0.0,0.0,0.0,42.95852526966579,0.0,0.0,0.0,0.0,0.0,0.0,115.88569841794884,0.0,0.0
2044,7.939275020141856,0.0,0.0,0.0,0.0,0.0,47.015558964992415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2045,17.27993047087731,0.0,0.0,0.0,0.0,0.0,49.50738358701174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2046,17.72267684275289,0.0,0.0,0.0,0.0,0.0,52.13127492135999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2047,18.176767271529734,0.0,0.0,0.0,0.0,0.0,54.894232491121215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2048,7.714428457320659,0.0,0.0,0.0,0.0,0.0,77.9761820028692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2049,0.0,0.0,0.0,0.0,0.0,0.0,67.50266874317639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7026724543548206,0.0,0.0,0.0,0.0,0.0,0.0,0.0
