YEAR,battery-technology,bioenergy-power,coal-subcritical,coal-supercritical,coal-ultrasupercritical,gas-CCGT,gas-CCGT-CCS,gas-OCGT,geo-power,hydropower,oil-internal-combustion-engine,solar-pv,transmission,windonshore-power,battery-storage
2023,0.0,0.5059,8.2996,1.978,0.0,2.7344,0.0,0.373,1.743,3.6188000000000002,3.03836,1.6275,34.089999999999996,0.469,16.693328560234516
2024,0.48000000000000004,0.642262,8.7496,2.428,0.7,6.0244,0.0,0.373,2.3793094706559623,3.8610310000000005,3.2277340000000003,4.40633,34.089999999999996,0.629,16.693328560234516
2025,0.53,0.673462,8.7496,2.778,0.7,6.0244,0.0,0.373,2.8322745790334274,4.051231,3.2837340000000004,7.2832159999999995,34.089999999999996,1.43915,16.693328560234516
2026,0.53,0.7248001895848066,8.5396,3.128,0.7,6.0244,0.0,0.373,3.360120915455713,4.051231,3.2837340000000004,8.615586,34.089999999999996,2.67114,16.693328560234516
2027,0.53,0.9082943607551426,8.9446,3.128,0.7,6.0244,0.0,0.373,3.599180881353218,4.051231,3.2837340000000004,8.680486,34.089999999999996,2.77194,16.693328560234516
2028,0.53,0.9082943607551426,8.9446,3.128,0.7,6.0244,0.0,0.373,3.208680881353218,4.051231,3.2837340000000004,8.680486,34.089999999999996,2.77194,16.693328560234516
2029,0.53,0.9082943607551426,8.9446,3.128,0.7,7.1244,0.0,0.373,3.208680881353218,4.056531,3.2837340000000004,8.680486,34.089999999999996,2.77194,16.693328560234516
2030,0.53,0.9082943607551426,8.6746,3.128,1.216986116432118,7.1244,0.0,0.373,3.3958712146865517,5.1051269926783,3.2517340000000003,8.680486,34.089999999999996,2.77194,16.693328560234516
2031,0.664,1.2753415836918636,8.6746,3.128,2.597396544226945,7.1894,0.0,0.373,2.8325378813532183,5.5548981881426105,2.654810269567344,11.743668242461982,34.089999999999996,2.77194,16.693328560234516
2032,0.798,1.439037693126402,8.6746,3.128,3.1883260805613207,7.2543999999999995,0.0,0.373,3.3325378813532183,6.659288227524006,2.744903125390243,12.97712496232199,34.089999999999996,2.77194,16.693328560234516
2033,0.932,1.7608452317516825,8.6746,3.128,4.558033568191549,7.3194,0.0,0.373,3.3325378813532183,7.111340443753056,2.822298761885599,18.068810977670893,34.089999999999996,2.73894,16.693328560234516
2034,1.066,2.147014278102019,8.6086,3.128,5.959213462198826,7.384399999999999,0.0,0.373,3.3325378813532183,7.948885587684933,2.6438679999999994,22.623297670891965,34.74174073666215,2.73894,16.693328560234516
2035,1.2,2.588417133722423,8.3086,3.128,7.437897006794788,7.4494,0.0,0.373,3.3325378813532183,9.348554190729073,1.9196481025325185,27.082129336827247,36.9397996597648,2.73894,16.693328560234516
2036,1.6796369898133876,2.9135072287595305,8.3086,3.128,8.737105364780929,7.5144,0.0,0.373,3.3325378813532183,9.920016897908287,1.997365652948376,33.40332723553837,39.32860466182701,2.73894,16.693328560234516
2037,3.6377965830427677,2.916809034950571,8.3086,3.128,9.051448998600998,7.5794,0.0,0.373,3.3325378813532183,10.456593051411863,2.010390948233157,41.27629478998604,41.8357896226536,2.73894,16.693328560234516
2038,5.26079680595351,2.921778810686071,8.3086,3.128,9.173577035680976,7.833772914271764,0.0,0.373,3.3325378813532183,11.462638542293728,1.8962292063250568,47.86422550343848,44.482501194824955,2.73894,16.693328560234516
2039,5.727385843607313,2.921778810686071,8.3086,3.128,9.294032085951638,9.981177950775518,0.0,0.373,3.3325378813532183,11.714779737458631,2.1089236620358474,54.1746444911689,47.26027990170272,2.73894,16.693328560234516
2040,6.666657201638713,2.921778810686071,8.038599999999999,3.128,9.398957244971413,12.191249694890155,0.0,0.373,3.3325378813532183,11.822445439171249,2.45669267418328,60.929439253659154,50.190263751902584,2.73894,16.693328560234516
2041,7.084830763107942,3.0600000000000005,8.038599999999999,3.128,9.461999961614406,14.014381041444167,0.0,0.373,3.3325378813532183,13.818735829279385,2.45669267418328,65.82672632611025,53.20058000422797,2.73894,16.693328560234516
2042,8.311233777054307,3.0600000000000005,8.038599999999999,3.128,9.461999961614406,16.40513362050725,0.0,0.373,3.3325378813532183,13.962526473256046,2.45669267418328,75.04539590594068,56.396923348875966,2.48894,16.693328560234516
2043,8.419374685456459,3.0600000000000005,8.038599999999999,3.128,9.461999961614406,19.738633962422803,0.0,0.373,3.3325378813532183,14.327799517267081,2.45669267418328,83.61820009894066,59.770845976650286,2.39894,16.693328560234516
2044,8.548076696426685,3.0600000000000005,8.038599999999999,3.128,9.461999961614406,23.729367763517747,0.0,0.373,3.3325378813532183,14.327799517267081,2.45669267418328,85.73026795121454,63.36039671623591,2.39894,16.693328560234516
2045,8.756145271296587,3.0600000000000005,8.038599999999999,3.128,9.461999961614406,28.043938051590796,0.0,0.373,3.2635378813532183,14.327799517267081,2.45669267418328,87.78012466668555,67.16557239387791,2.39894,16.693328560234516
2046,10.796439759452912,3.0600000000000005,7.7386,3.128,9.461999961614406,31.126369469300645,0.0,0.37299999999999855,3.2635378813532183,14.327799517267081,2.3666926741832803,87.69412466668555,71.19482979613177,2.39894,16.693328560234516
2047,12.02165673667632,3.0600000000000005,6.9746,3.128,9.461999961614406,35.69259384479384,0.0,0.373,3.2635378813532183,14.327799517267081,2.3536926741832804,87.30572466668555,75.46930992135972,2.38294,16.693328560234516
