YEAR,Cost of electricity generation
2023,57.48694171416609
2024,66.27543114155061
2025,68.43147267365981
2026,70.86834800699641
2027,70.20388150263695
2028,69.62333510086269
2029,66.7933010003243
2030,61.34560188388172
2031,64.87202534835313
2032,66.21187350556072
2033,67.57142865755284
2034,68.9428353590965
2035,70.61969649846564
2036,71.50760066705891
2037,71.17320530143913
2038,71.19710087638565
2039,71.54762724700662
2040,71.8165646813188
2041,72.6609402008396
2042,72.9775918152763
2043,73.9015717938525
2044,74.42653179441898
2045,75.01994363048611
2046,75.16087485842868
2047,75.5866246282265
2048,75.95246083529882
2049,76.37917068710105
2050,77.26159231182947
