YEAR,PHL-LU,PHL-MI,PHL-VI
2023,296.5,52.7,53.8
2024,315.7,56.1,57.3
2025,336.5,59.8,61.1
2026,358.7,63.8,65.1
2027,382.7,68.0,69.4
2028,408.3,72.6,74.1
2029,436.0,77.5,79.1
2030,466.0,82.9,84.6
2031,497.6,88.5,90.3
2032,531.1,94.4,96.4
2033,566.3,100.7,102.8
2034,603.6,107.3,109.5
2035,642.8,114.3,116.6
2036,684.3,121.7,124.2
2037,728.0,129.4,132.1
2038,774.0,137.6,140.5
2039,822.4,146.2,149.2
2040,873.3,155.3,158.5
2041,925.7,164.6,168.0
2042,981.3,174.5,178.1
2043,1040.1,184.9,188.7
2044,1102.5,196.0,200.1
2045,1168.7,207.8,212.1
2046,1238.8,220.3,224.8
2047,1313.2,233.5,238.3
2048,1391.9,247.5,252.6
2049,1475.5,262.3,267.7
2050,1564.0,278.1,283.8
