YEAR,carbon-capture-and-storage-transmission-and-distribution,coal-subcritical,coal-supercritical,coal-supercritical-CCS,coal-ultrasupercritical,gas-CCGT,gas-CCGT-CCS,gas-OCGT,oil-internal-combustion-engine
2023,0.0,53.55573842069221,14.05453770550191,0.0,0.0,5.639534540945761,0.0,0.8714918096643486,0.7060182031932425
2024,0.0,43.89938477432075,12.438839663917559,0.0,1.2730252342815072,7.656967477550253,0.0,0.7469929797122966,0.7180594349425913
2025,0.0,35.87338556439835,11.197752548548479,0.0,1.9323681365279726,10.020841738460913,0.0,0.6224941497602491,0.564811975782658
2026,0.0,27.94895348396222,10.086845204279236,0.0,4.184133408001673,12.627595382574725,0.0,0.49799531980819917,0.5342797317838297
2027,0.0,22.47978144135631,17.746617560520036,0.0,4.184133408001673,14.02092830592561,0.0,0.37349648985614936,0.3464461737758826
2028,0.0,32.49220771087033,23.749307212229247,0.0,4.184133408001673,14.020928305925612,0.0,0.24899765990409958,0.21836580200677536
2029,0.0,58.18649174590883,21.014260842248405,0.0,4.184133408001673,8.185574085809591,0.0,0.12449882995204979,0.12808037176910725
2030,0.0,58.27695239839131,21.014260842248405,0.0,7.480437798249458,9.579157612664172,0.0,0.0,0.0
2031,0.0,58.2769523983913,21.014260842248405,0.0,15.39973696081779,9.245294848513963,0.0,0.02375495003303745,0.0
2032,0.0,58.2769523983913,21.014260842248405,0.0,18.682326247083985,9.376460512280886,0.0,0.0,0.0
2033,0.0,58.2769523983913,21.014260842248405,0.0,21.145793711106197,10.279493066786078,0.0,0.023499981473034306,0.0
2034,0.0,53.32939550278732,21.014260842248405,0.0,31.06244501662565,8.700398656869824,0.0,0.023499981473033497,0.0
2035,0.0,43.96229523429917,20.963350702538477,0.0,44.09678676015264,8.313703230960954,0.0,0.0,0.18386407205331118
2036,0.0,47.61477185888437,21.014260842248405,0.0,44.096786760152625,8.134180538718578,0.0,0.0,0.0
2037,0.0,45.492082721286394,20.06076004901375,0.0,49.46496098367058,9.061633702931289,0.0,0.016485958036799794,0.0
2038,0.0,45.4920827212864,19.74612423223789,0.0,49.93496098367057,11.741049699782083,0.0,0.27170577796319983,0.0
2039,0.0,45.4920827212864,19.27345602470286,0.0,50.394960983670565,14.833717907318658,0.0,0.27170577796319506,0.0
2040,0.0,43.77400171779246,19.58657465293757,0.0,51.2394191711645,18.514727309549183,0.0,0.2312005634997237,0.0
2041,0.0,43.85819171932175,18.72783043789307,0.0,51.56522916963522,21.924672088095065,0.0,0.0,0.0
2042,0.0,44.148459905286394,17.47836416342539,0.0,51.4761886496455,25.583178882554265,0.0,0.0,0.0
2043,0.0,44.148459905286394,16.19556775270221,0.0,51.562094851433,30.791234480622975,0.0,0.0,0.0
2044,0.0,39.94542925556045,16.492385126138462,0.0,50.56454722778841,39.04763839053175,0.0,0.0,0.0
2045,0.0,31.68660550118266,17.217372188121793,0.0,51.56522916963523,48.540793141083974,0.0,0.0,0.0
2046,0.0,24.637971054641522,18.874683142010124,0.0,51.56522916963522,58.23211663374154,1.1360611963902208e-15,0.0,0.0
2047,0.0,22.54805188270388,13.524283572967379,0.0,51.56522916963523,69.95243537472766,0.0,0.0,0.0
2048,0.0,19.587576496698013,7.9721432120807005,0.0,51.56522916963522,82.75505112162642,0.0,0.0,0.0
2049,0.0,16.556623383920844,8.270765826308804,0.0,43.214063396852914,98.1385473929653,1.9421501444109406e-16,0.0,0.0
2050,0.0,13.359656333322057,7.783059571199999,0.0,32.895528899061034,115.29910884759798,2.941468725481756e-14,0.0,1.132646348878088
