YEAR,battery-technology,bioenergy-power,coal-subcritical,coal-supercritical,coal-ultrasupercritical,gas-CCGT,gas-CCGT-CCS,gas-OCGT,geo-power,hydropower,oil-internal-combustion-engine,solar-pv,windonshore-power
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.913112,0.0,0.0,0.0,0.0,0.0,0.0,6.2283019125433015,0.128448,0.0,14.966349,0.35200000000000004
2025,0.0,0.9796799999999999,0.0,0.0,0.0,0.0,0.0,0.0,5.20909874634085,0.20448,0.0,20.106135,1.25433
2026,0.0,1.6120191529629182,0.0,0.0,0.0,0.0,0.0,0.0,6.070232868856264,0.0,0.0,10.782518999999997,2.7103780000000004
2027,0.0,6.0129169747486335,0.0,0.0,0.0,0.0,0.0,0.0,3.6461896078213263,0.0,0.0,0.5045999999999999,0.22176
2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00848,0.0,0.0,0.0
2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7794388333333337,0.8777535882852215,0.0,0.0,0.0
2031,0.0,11.525282800213501,0.0,0.0,0.0,0.0,0.0,0.0,6.321166666666667,0.7196339127429908,0.0,26.649685509419143,0.0
2032,0.0,5.140057836244479,0.0,0.0,0.0,0.0,0.0,0.0,5.75,1.7670240630102325,0.0,10.731073462782193,0.0
2033,0.0,10.104756712833908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7232835459663756,0.0,44.29766833353673,0.0
2034,0.0,12.12570805540069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3400722302909847,0.0,39.62403423102551,0.0
2035,0.0,14.550849666480827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2394697648706234,0.0,38.79183549363427,0.0
2036,0.0,11.711888984165025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91434033148673,0.0,54.99442171878688,0.0
2037,0.0,0.10367671439922506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.858521845605746,0.0,68.49481772369383,0.0
2038,0.0,0.7840509580948094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6096727854110071,0.0,57.31499720703707,0.0
2039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4034259122637939,0.0,54.90064519325556,0.0
2040,0.0,0.37679999999999947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17226512274025857,0.0,58.95811443366254,0.0
2041,0.0,8.422145344455988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1940646241729715,0.0,43.72956753032785,0.0
2042,0.0,0.5338000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2300650303626679,0.0,84.09480534452386,0.0
2043,0.0,0.37679999999999947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5844368704177538,0.0,75.11409647909906,0.0
2044,0.0,0.4710000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.374990314783236,0.0
2045,0.0,4.772800000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.233953424597576,0.0
2046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2048,0.0,2.198000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2049,0.0,0.9131119999999928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050,0.0,3.5795999999999917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
