YEAR,battery-technology,bioenergy-power,coal-subcritical,coal-supercritical,coal-supercritical-CCS,coal-ultrasupercritical,gas-CCGT,gas-CCGT-CCS,gas-OCGT,geo-power,hydropower,nuclear-power,oil-internal-combustion-engine,solar-pv,transmission,windoffshore-power,windonshore-power
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,81.65982066584777,6.980654667274371,0.0,77.64129340515039,0.0,132.74841678674636,136.4601793627168,0.0,0.0,316.1227846902548,16.376700487197954,0.0,1.6001803913877661,188.20491885723678,0.0,0.0,29.0095689297328
2025,89.94488997090357,14.402809336751325,0.0,137.9081907083038,0.0,132.74841678674636,136.4601793627168,0.0,0.0,579.1930806424975,42.36902105641951,0.0,6.186379453637995,434.7227348290852,0.0,0.0,130.72937414024884
2026,89.94488997090357,26.50571394243783,0.0,198.05455421685093,0.0,132.74841678674636,136.4601793627168,0.0,0.0,884.2196399179655,42.36902105641951,0.0,6.186379453637995,563.6202558439936,0.0,0.0,347.0105252341063
2027,89.94488997090357,71.24389001796061,85.58721537951602,198.05455421685093,0.0,132.74841678674636,136.4601793627168,0.0,0.0,1066.522983314331,42.36902105641951,0.0,6.186379453637995,569.5015945994847,0.0,0.0,364.42326542662136
2028,89.94488997090357,71.24389001796061,85.58721537951602,198.05455421685093,0.0,132.74841678674636,136.4601793627168,0.0,0.0,1066.522983314331,42.36902105641951,0.0,6.186379453637995,569.5015945994847,0.0,0.0,364.42326542662136
2029,89.94488997090357,71.24389001796061,85.58721537951602,198.05455421685093,0.0,132.74841678674636,247.36236250794758,0.0,0.0,1066.522983314331,43.43407279009693,0.0,6.186379453637995,569.5015945994847,0.0,0.0,364.42326542662136
2030,89.94488997090357,71.24389001796061,85.58721537951602,198.05455421685093,0.0,229.61933989634923,247.36236250794758,0.0,0.0,1203.416143057648,153.34544330918982,0.0,6.186379453637995,569.5015945994847,0.0,0.0,364.42326542662136
2031,108.90254782801223,153.95032016135968,85.58721537951602,198.05455421685093,0.0,487.75816588027317,253.85030405471414,0.0,0.0,1513.1901325216397,243.1869008950173,0.0,20.353298304220672,850.1997118781779,0.0,0.0,364.42326542662136
2032,127.36730658083606,190.50385200608662,85.58721537951602,198.05455421685093,0.0,598.0418684442143,260.30580589374694,0.0,0.0,1793.5647106144281,463.1261763448759,0.0,27.628901698406676,960.4031629999456,0.0,0.0,364.42326542662136
2033,145.35198160608644,261.71711011149796,85.58721537951602,198.05455421685093,0.0,853.1557036304463,266.72903022358446,0.0,0.0,1793.5647106144281,552.8822962458853,0.0,33.86661889070299,1403.9479812640152,0.0,0.0,364.42326542662136
2034,162.86905508068034,346.4039166504531,85.58721537951602,198.05455421685093,0.0,1113.6094567234923,273.12013843177283,0.0,0.0,1793.5647106144281,718.6801294683371,0.0,41.23190032855418,1790.777803915634,19.947981626757457,0.0,364.42326542662136
2035,179.9306846449348,447.1134669865785,85.58721537951602,198.05455421685093,0.0,1387.9200025093398,279.47929109891976,0.0,0.0,1793.5647106144281,994.9229531843484,0.0,49.337890902574024,2160.0156454721405,87.22448675537508,0.0,364.42326542662136
2036,239.41292748618474,527.4444172963649,85.58721537951602,198.05455421685093,0.0,1628.4540788916925,285.80664800273144,0.0,0.0,1793.5647106144281,1107.3702025701218,0.0,55.564045955666465,2670.390335966348,160.33920187213664,0.0,364.42326542662136
2037,475.9404639777152,528.1491279508897,85.58721537951602,198.05455421685093,0.0,1686.534935940135,292.1023681220241,0.0,0.0,1793.5647106144281,1212.6360445124037,0.0,56.605449250111775,3290.163574706289,237.07720015898553,0.0,364.42326542662136
2038,666.8867256549664,533.4305096522478,85.58721537951602,198.05455421685093,0.0,1709.0552407896173,316.6170353652957,0.0,0.0,1793.5647106144281,1409.410571788001,0.0,60.78164815725989,3795.8112289697865,318.08572217249844,0.0,364.42326542662136
2039,693.6977462184313,533.4305096522478,85.58721537951602,198.05455421685093,0.0,1731.2226246973485,522.5340271835639,0.0,0.0,1793.5647106144281,1458.5794414267439,0.0,90.22148438660416,4268.050157993253,403.1058467265941,0.0,364.42326542662136
2040,795.8271310698428,535.9231606127977,85.58721537951602,198.05455421685093,0.0,1750.493418605876,733.4005665308399,0.0,0.0,1793.5647106144281,1479.5118378408492,0.0,117.85994658125604,4762.511722177126,492.7845498099931,0.0,364.42326542662136
2041,841.2867742944801,591.1368746908339,85.58721537951602,198.05455421685093,0.0,1762.048830527945,957.7434204430978,0.0,0.0,1793.5647106144281,1866.466826433118,0.0,117.85994658125604,5120.088042342481,584.9220055713972,0.0,364.42326542662136
2042,971.1426536159222,594.6048536504833,85.58721537951602,198.05455421685093,0.0,1762.048830527945,1234.5820022947646,0.0,0.0,1793.5647106144281,1894.2551611130557,0.0,117.85994658125604,5790.539522197166,682.7532361898644,0.0,364.42326542662136
2043,982.2952857801452,597.0308069321392,85.58721537951602,198.05455421685093,0.0,1762.048830527945,1661.7556575767208,0.0,0.0,1793.5647106144281,1964.634417564487,0.0,117.85994658125604,6374.420393466677,786.0196775874498,0.0,364.42326542662136
2044,995.2232950500781,600.0359565597904,85.58721537951602,198.05455421685093,0.0,1762.048830527945,2034.959735847643,0.0,0.0,1793.5647106144281,1964.634417564487,0.0,117.85994658125604,6513.683004761097,895.8858991900493,0.0,364.42326542662136
