YEAR,bioenergy-power,coal-subcritical,coal-supercritical,coal-supercritical-CCS,coal-ultrasupercritical,gas-CCGT,gas-CCGT-CCS,gas-OCGT,geo-power,hydropower,nuclear-power,oil-internal-combustion-engine,solar-pv,windoffshore-power,windonshore-power
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,58.789291200000065,0.0,674.9973000000008,0.0,1154.087200000001,1221.4620000000011,0.0,0.0,2534.573823663198,148.0724460000002,0.0,14.323296000000013,1585.0137712500018,0.0,247.96800000000022
2025,62.50749148800007,0.0,523.9479042000006,0.0,0.0,0.0,0.0,0.0,2276.560350671847,235.0135478700003,0.0,41.05130086400004,2076.110101406252,0.0,869.480574480001
2026,84.76967151235856,0.0,522.9000083916006,0.0,0.0,0.0,0.0,0.0,2700.680642919623,0.0,0.0,0.0,1085.542009896095,0.0,1848.728073290114
2027,128.625350567941,744.0774974500819,0.0,0.0,0.0,0.0,0.0,0.0,1642.1741920617987,0.0,0.0,0.0,559.0009709678241,0.0,148.8406246406555
2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,0.0,0.0,0.0,0.0,0.0,992.6910770714607,0.0,0.0,0.0,9.6298283921988,0.0,0.0,0.0,0.0,0.0
2030,0.0,0.0,0.0,0.0,898.3460398395366,0.0,0.0,0.0,1395.7642839107496,963.7168865161908,0.0,0.0,0.0,0.0,0.0
2031,597.6700893250547,0.0,0.0,0.0,2153.940188267052,58.07389448413521,0.0,0.0,2734.033875181847,14.038530911303912,0.0,6.89539410146443,2826.085019575145,0.0,0.0
2032,0.0,0.0,0.0,0.0,891.0333905108618,57.78352501171454,0.0,0.0,2193.207720034654,13.996415318569998,0.0,6.881603313261501,3047.9297721394355,0.0,0.0
2033,497.5982117186964,0.0,0.0,0.0,667.3517495814732,57.494607386655964,0.0,0.0,0.0,13.95442607261429,0.0,6.867840106634978,3050.167389706992,0.0,0.0
2034,565.6765762529961,0.0,0.0,0.0,2681.041623641594,57.20713434972268,0.0,0.0,0.0,13.912562794396445,0.0,6.854104426421707,5708.054367367834,0.0,0.0
2035,0.0,0.0,0.0,0.0,3516.8849293159456,56.92109867797407,0.0,0.0,0.0,13.870825106013259,0.0,6.840396217568865,5640.643254767432,0.0,0.0
2036,0.0,0.0,0.0,0.0,0.0,56.636493184584204,0.0,0.0,0.0,13.829212630695217,0.0,6.8267154251337265,6044.029024662237,0.0,0.0
2037,0.0,0.0,0.0,0.0,1442.6359157627826,56.353310718661284,0.0,0.0,0.0,13.787724992803131,0.0,6.8130619942834585,5232.907083573704,0.0,0.0
2038,35.625829111664714,0.0,0.0,0.0,126.0545530886742,1390.96476171585,0.0,0.0,0.0,13.746361817824724,0.0,6.799435870294892,4002.6074381790086,0.0,0.0
2039,0.0,0.0,0.0,0.0,123.125796238188,1663.763933416312,0.0,0.0,0.0,615.8376983001714,0.0,6.785836998554303,3790.375798302947,0.0,0.0
2040,928.6750213896869,0.0,0.0,0.0,225.57964685129997,2111.4917750241684,0.0,0.0,0.0,13.664007364174134,0.0,211.17232207200124,2375.8085460840466,0.0,0.0
2041,1288.3856820131882,0.0,0.0,0.0,86.85937714042365,2613.9021158173327,0.0,0.0,0.0,0.0,0.0,0.0,2843.5914262033157,0.0,0.0
2042,606.6280804731376,0.0,0.0,0.0,0.0,2477.9962143160415,0.0,0.0,0.0,0.0,0.0,0.0,3435.774265642084,0.0,1046.6931579826646
2043,20.43075910651656,0.0,0.0,0.0,0.0,3935.9818024533383,0.0,0.0,0.0,0.0,0.0,0.0,3356.092505773509,0.0,0.0
2044,25.308602843197452,0.0,0.0,0.0,0.0,2991.665733032604,0.0,0.0,0.0,0.0,0.0,0.0,2612.77334854116,0.0,0.0
2045,254.15236423176844,0.0,0.0,0.0,0.0,3075.0199647226527,0.0,0.0,0.0,0.0,0.0,0.0,1087.1072514079267,0.0,0.0
2046,0.0,0.0,0.0,0.0,0.0,3512.3466481431024,0.0,0.0,0.0,0.0,0.0,0.0,555.6883990474147,0.0,0.0
2047,0.0,0.0,0.0,0.0,0.0,3753.1964697008266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2048,113.91202427727735,0.0,0.0,0.0,0.0,3733.732364433879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2049,46.89640872841923,0.0,0.0,0.0,0.0,4290.6069661841875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050,182.18964510606787,0.0,0.0,0.0,0.0,4393.053045148574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
