YEAR,Cost of electricity generation
2023,57.63870494849505
2024,66.68501057447592
2025,68.71549725323617
2026,71.7384124203592
2027,72.83440204985033
2028,71.99706805216562
2029,70.54012025264402
2030,70.6525555439233
2031,76.33276943099004
2032,79.13174150530934
2033,82.88762079472572
2034,87.04557723233158
2035,90.2200835410048
2036,90.35417349833219
2037,91.91440333230871
2038,94.49012331253599
2039,96.93582633510294
2040,99.17234487096601
2041,101.8363590208198
2042,105.11104017254272
2043,108.65613361031917
2044,111.6928606030783
2045,115.25558237165181
2046,117.62915308362679
2047,119.89121496280515
2048,122.16174469651737
2049,123.96550170194195
2050,125.74780568010459
