YEAR,PHL-LU,PHL-MI,PHL-VI
2023,60.6150852553848,8.831124109659532,5.328835474558514
2024,54.09189383751081,7.533024944547016,4.28792282281986
2025,48.98866098230089,6.357345645890543,3.59320581479635
2026,46.6612138191714,4.3583708013857425,2.876216674102847
2027,52.86930715351822,3.9223680516015698,2.473334541714654
2028,55.81999999999663,8.315935984438884,2.8746150603876583
2029,54.47000000000834,9.679999999999998,5.360000000000082
2030,53.120000000006954,9.439999999999998,5.23
2031,49.13000000000705,8.73,4.84
2032,45.150000000007196,8.019999999999998,4.450000000000001
2033,41.16000000000727,7.309999999999999,4.05
2034,37.17000000000695,6.609999999999998,3.6600000000000006
2035,33.19000000000839,5.8999999999999995,3.2699999999999996
2036,29.670000000008805,5.269999999999999,2.92
2037,26.1500000000091,4.65,2.580000000000002
2038,22.630000000009176,4.020000000000004,2.23
2039,19.11000000000852,3.3999999999999937,1.8799999999999994
2040,15.590000000007766,2.77,1.5400000000000014
2041,13.900000000007493,2.47,1.37
2042,12.200000000006824,2.17,1.2000000000000988
2043,10.510000000005933,1.8700000000000045,1.0300000000004768
2044,8.810000000005111,1.570000000000272,0.8700000000004243
2045,7.110000000004554,1.260000000000429,0.7000000000002384
2046,6.2900000000039,1.120000000000452,0.6200000000003024
2047,5.4700000000035445,0.9700000000004521,0.5400000000002665
2048,4.640000000003139,0.8200000000004,0.4600000000002244
2049,3.8200000000027394,0.6800000000003318,0.38000000000018536
2050,2.9900000000023343,0.5300000000002586,0.2900000000001414
