YEAR,battery-technology,bioenergy-power,coal-subcritical,coal-supercritical,coal-ultrasupercritical,gas-CCGT,gas-CCGT-CCS,gas-OCGT,geo-power,hydropower,nuclear-power,oil-internal-combustion-engine,solar-pv,windoffshore-power,windonshore-power
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.913112,0.0,0.0,0.0,0.0,0.0,0.0,6.657222590689372,0.128448,0.0,0.0,14.966349,0.0,0.35200000000000004
2025,0.0,0.9796799999999999,0.0,0.0,0.0,0.0,0.0,0.0,5.209103679304335,0.20448,0.0,0.0,20.106135,0.0,1.25433
2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.73439714056044,0.0,0.0,0.0,10.782518999999997,0.8791796979318377,2.7103780000000004
2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.315967602446109,0.0,0.0,0.0,3.093204634752713,1.0294605486484125,0.22176
2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2044688419186427,0.0
2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00848,0.0,0.0,0.6435526037859448,1.4092285450448119,0.0
2030,0.0,2.770116805271659,0.0,0.0,0.0,0.0,0.0,0.0,11.733642404651416,0.8512000000000001,0.0,0.0,48.12790946080538,1.64879739770243,0.0
2031,0.0,19.923783227720996,0.0,0.0,0.0,0.0,0.0,0.0,11.326029014755983,1.6173950399432002,0.0,0.0,60.00754387907589,1.929092955311843,0.0
2032,0.0,19.26828136659853,0.0,0.0,0.0,0.0,0.0,0.0,4.2138805675923425,1.2360650416595045,0.0,0.0,43.033797891698576,2.2570387577148567,0.0
2033,0.0,13.639137639918237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.95201528699686,0.0,0.0,0.0,2.640735346526382,1.3696641377932075
2034,0.0,16.366965167901885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.043028174257569,0.0,0.0,0.0,3.089660355435867,4.777206463424847
2035,0.0,3.9110089925886804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.587662857142858,0.0,0.0,13.044972856923057,3.614902615859964,7.3493315622070705
2036,0.0,1.504059999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012436800000000001,0.0,0.0,53.86193992847089,4.229436060556158,6.430761314192132
2037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012436800000000001,0.0,0.0,26.438503990440953,4.948440190850705,6.3678191708823295
2038,0.0,0.6280000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012436800000000001,0.0,0.0,9.528855507919898,5.789675023295325,9.613767826567393
2039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012436800000000001,0.0,0.0,26.14641658486378,6.77391977725553,8.195377140761387
2040,0.0,0.37679999999999947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012436800000000001,0.0,0.0,9.363214913784812,7.92548613938897,9.588591254690824
2041,0.0,4.082000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74346500832802,8.658168051513814
2042,0.0,0.5338000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.809207834500858,6.882190512176482
2043,0.0,0.37679999999999947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.669849024202293,1.5434545657905197
2044,0.0,0.4710000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.190647500480395,0.0
2045,0.0,4.772800000000007,0.0,0.0,0.0,0.0,-0.0,0.0,0.7934999999999994,1.4210854715202005e-15,0.0,0.0,0.0,20.11305757556206,0.0
2046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.53227736340761,0.0
2047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.21499418665815,0.03519999999999612
2048,0.0,2.198000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.116266984438557,0.0
2049,0.0,0.9131119999999928,0.0,0.0,0.0,0.0,0.0,0.0,0.13800000000000012,0.0,0.0,0.0,0.0,31.06824917846596,0.0
2050,0.0,4.348334799999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.14619697045193,0.0
