YEAR,battery-technology,bioenergy-power,coal-subcritical,coal-supercritical,coal-supercritical-CCS,coal-ultrasupercritical,gas-CCGT,gas-CCGT-CCS,gas-OCGT,geo-power,hydropower,nuclear-power,oil-internal-combustion-engine,solar-pv,transmission,windoffshore-power,windonshore-power
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,81.65982066584777,6.980654667274371,0.0,77.64129340515039,0.0,132.74841678674636,136.4601793627168,0.0,0.0,337.89302015583127,16.376700487197954,0.0,1.6001803913877661,188.20491885723678,0.0,0.0,29.0095689297328
2025,89.94488997090357,14.402809336751325,0.0,137.9081907083038,0.0,132.74841678674636,136.4601793627168,0.0,0.0,600.9635652329663,42.36902105641951,0.0,6.186379453637995,434.7227348290852,0.0,0.0,130.72937414024884
2026,89.94488997090357,14.402809336751325,0.0,198.05455421685093,0.0,132.74841678674636,136.4601793627168,0.0,0.0,939.3640900495278,42.36902105641951,0.0,6.186379453637995,563.6202558439936,0.0,157.38193218793927,347.0105252341063
2027,89.94488997090357,14.402809336751325,85.58721537951602,198.05455421685093,0.0,132.74841678674636,136.4601793627168,0.0,0.0,1255.151839605715,42.36902105641951,0.0,6.186379453637995,599.6729397461655,0.0,338.5328121477637,364.42326542662136
2028,89.94488997090357,14.402809336751325,85.58721537951602,198.05455421685093,0.0,132.74841678674636,136.4601793627168,0.0,0.0,1255.151839605715,42.36902105641951,0.0,6.186379453637995,599.6729397461655,0.0,546.8762506983574,364.42326542662136
2029,89.94488997090357,14.402809336751325,85.58721537951602,198.05455421685093,0.0,132.74841678674636,247.36236250794758,0.0,0.0,1255.151839605715,43.43407279009693,0.0,6.186379453637995,606.8034766479591,0.0,786.4941228097805,364.42326542662136
2030,89.94488997090357,34.46194024571649,85.58721537951602,198.05455421685093,0.0,132.74841678674636,247.36236250794758,0.0,0.0,1833.0582014249994,150.0204312333861,0.0,6.186379453637995,1126.7273905403656,0.0,1062.0810337038497,364.42326542662136
2031,108.90254782801223,177.43673871966004,85.58721537951602,198.05455421685093,0.0,132.74841678674636,253.85030405471414,0.0,0.0,2388.099600853252,351.941331996272,0.0,9.771356817725959,1758.7800496016434,0.0,1379.0362957922273,364.42326542662136
2032,127.36730658083606,314.46316117752934,85.58721537951602,198.05455421685093,0.0,132.74841678674636,260.3058058937469,0.0,0.0,2593.571772378835,505.7928020256966,0.0,34.44540160145087,2200.7184128967792,14.845790090017262,1743.5697122726913,364.42326542662136
2033,145.35198160608644,410.5849636800191,85.58721537951602,198.05455421685093,0.0,132.74841678674636,266.7290302235844,0.0,0.0,2593.571772378835,1492.6008685644183,0.0,63.99503763443983,2200.7184128967792,35.786496025214106,2162.8232399010376,462.04995937167286
2034,162.86905508068034,524.8930112159799,85.58721537951602,198.05455421685093,0.0,132.74841678674636,273.1201384317728,0.0,0.0,2593.571772378835,2363.9858463450755,0.0,99.38368174754741,2200.7184128967792,59.129921128994866,2645.0109145616752,797.1107488608649
2035,179.9306846449348,551.9619429988074,85.58721537951602,198.05455421685093,0.0,132.74841678674636,469.8417684535642,0.0,0.0,2593.571772378835,2436.475169307442,0.0,117.80450053082674,2324.886232221645,87.22482471895485,3199.5797810656213,1304.3262708683833
2036,588.208867769652,562.2781754431462,85.58721537951602,198.05455421685093,0.0,132.74841678674636,476.16912535737595,0.0,0.0,2593.571772378835,2438.004669760394,0.0,118.56717248572339,2824.750946882696,160.33980013798399,3837.3949801204744,1741.0453681640436
2037,791.3767561007984,562.2781754431462,85.58721537951602,198.05455421685093,0.0,132.74841678674636,482.4648454766686,191.61632527620577,0.0,2593.571772378835,2439.529581711987,0.0,122.12952401313126,3063.9789321544376,237.0778753441953,4570.952618705452,2166.570890650755
2038,869.4384399888233,566.5083950152417,85.58721537951602,198.05455421685093,0.0,132.74841678674636,488.72908699536475,417.24810978611777,0.0,2593.571772378835,2441.049918927725,0.0,164.92466922946483,3148.044947511478,318.0863796226545,5414.624594418419,2798.7259522507206
2039,952.6541962393671,566.5083950152417,85.58721537951602,198.05455421685093,0.0,132.74841678674636,494.96200730646746,712.0118632688948,0.0,2593.571772378835,2442.5656951318156,0.0,224.19614443924925,3372.9486025117717,403.10649110684284,6384.940170405662,3328.9922585479385
2040,1088.023196592055,569.0010459757915,85.58721537951602,198.05455421685093,0.0,132.74841678674636,501.1637630160146,1068.6248551887743,0.0,2593.571772378835,2444.076924007294,0.0,258.0434885609155,3451.474687284531,492.78520261335916,7500.909817504347,3939.4772516617995
