YEAR,battery-technology,bioenergy-power,coal-subcritical,coal-supercritical,coal-supercritical-CCS,coal-ultrasupercritical,gas-CCGT,gas-CCGT-CCS,gas-OCGT,geo-power,hydropower,nuclear-power,oil-internal-combustion-engine,solar-pv,windoffshore-power,windonshore-power
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,587.2051200000006,58.789291200000065,0.0,674.9973000000008,0.0,1154.087200000001,1221.4620000000011,0.0,0.0,2937.5718292568044,148.0724460000002,0.0,14.323296000000013,1585.0137712500018,0.0,247.96800000000022
2025,59.57685280000006,62.50749148800007,0.0,523.9479042000006,0.0,0.0,0.0,0.0,0.0,2287.0807510892814,235.0135478700003,0.0,41.05130086400004,2076.110101406252,0.0,869.480574480001
2026,0.0,0.0,0.0,522.9000083916006,0.0,0.0,0.0,0.0,0.0,2941.9839695072606,0.0,0.0,0.0,1085.542009896095,1345.269316317911,1848.728073290114
2027,0.0,0.0,744.0774974500819,0.0,0.0,0.0,0.0,0.0,0.0,2745.3931918831586,0.0,0.0,0.0,303.6264983000394,1548.441533574057,148.8406246406555
2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1780.8780921788587,0.0
2029,0.0,0.0,0.0,0.0,0.0,0.0,992.6910770714607,0.0,0.0,0.0,9.6298283921988,0.0,0.0,60.051561108889814,2048.205702595827,0.0
2030,0.0,168.9328787104324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5024.198036543324,963.7168865161908,0.0,0.0,4378.66644785611,2355.661860612487,0.0
2031,136.3220451151216,1204.09724622976,0.0,0.0,0.0,0.0,58.07389448413521,0.0,0.0,4825.414796315581,1825.698754022919,0.0,32.08931456446561,5322.986109237848,2709.270262509027,0.0
2032,132.77767194212845,1154.001542252954,0.0,0.0,0.0,0.0,57.78352501171454,0.0,0.0,1786.3324388630708,1391.0716328824096,0.0,220.85862872500775,3721.892053192437,3115.958821614257,0.0
2033,129.3254524716331,809.5132773835088,0.0,0.0,0.0,0.0,57.494607386655964,0.0,0.0,0.0,8922.376290580887,0.0,264.50029376106926,0.0,3583.6954003267733,834.4934770593824
2034,125.96299070737062,962.6731894644687,0.0,0.0,0.0,0.0,57.20713434972268,0.0,0.0,0.0,7878.760753333797,0.0,316.76555180825653,0.0,4121.643916869824,2864.0326938088465
2035,122.68795294897899,227.9676318202606,0.0,0.0,0.0,0.0,1760.8653071676115,0.0,0.0,0.0,655.4233173106135,0.0,164.88568502357862,1045.7096699225099,4740.343885231155,4335.576956203978
2036,2935.8751655377873,86.88067554757384,0.0,0.0,0.0,0.0,56.636493184584204,0.0,0.0,0.0,13.829212630695217,0.0,6.8267154251337265,4209.732993751952,5451.916905843204,3732.9876007643193
2037,1460.953787001547,0.0,0.0,0.0,0.0,0.0,56.353310718661284,1715.1674649525785,0.0,0.0,13.787724992803131,0.0,31.88678955056042,2014.7170086013016,6270.304152579325,3637.307159426196
2038,561.3313877144057,35.625829111664714,0.0,0.0,0.0,0.0,56.07154416506797,2019.6415691239017,0.0,0.0,13.746361817824724,0.0,383.06151956088576,707.9825163129614,7211.539508923009,5403.5351815985905
2039,1185.598769858062,0.0,0.0,0.0,0.0,0.0,55.79118644424264,2638.4453364931587,0.0,0.0,13.70512273237125,0.0,530.5419866132323,1894.0811565628105,8294.06370460744,4532.610455481172
2040,1032.9976789569787,20.992469927887626,0.0,0.0,0.0,0.0,55.51223051202141,3192.0610127488285,0.0,0.0,13.664007364174134,0.0,302.96929726031374,661.3266354721624,9539.085607306062,5218.303765186362
2041,374.74380067146916,225.37165840081425,0.0,0.0,0.0,0.0,1022.0533547794782,531.1297627344061,0.0,0.0,0.0,4308.125164634047,0.0,0.0,11527.83583534599,4636.557607562659
2042,1509.2979228739916,29.20643330060396,0.0,0.0,0.0,0.0,99.50989892120583,1271.4113114645972,0.0,0.0,0.0,5463.029703600118,0.0,0.0,13734.366653934738,3626.531366069141
2043,2141.4144205209627,20.43075910651656,0.0,0.0,0.0,0.0,382.7093040076619,831.817299194288,0.0,0.0,0.0,7142.113973505881,0.0,0.0,16771.31180876332,800.301619502979
2044,1886.633325743245,25.308602843197452,0.0,0.0,0.0,0.0,266.4513883288951,812.3569176440446,0.0,0.0,0.0,6900.7022992703305,0.0,0.0,19319.11118494138,0.0
2045,2362.9691728535963,254.15236423176808,0.0,0.0,0.0,0.0,177.8107234650611,-1.8901876527526764e-12,0.0,315.1570620392519,1.5380322006335262e-12,9203.692383420368,0.0,0.0,22219.102964912927,0.0
2046,3237.7214768794584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2134.3685228456097,0.0,0.0,25554.412510976003,0.0
2047,3532.8707828058205,0.0,0.0,0.0,0.0,0.0,0.0,145.35090298678446,0.0,0.0,0.0,0.0,0.0,0.0,29051.17525080355,17.111295965541647
2048,2882.028945221983,113.91202427727762,0.0,0.0,0.0,0.0,0.0,1612.405421589191,0.0,0.0,0.0,0.0,0.0,0.0,30552.353564341196,0.0
2049,3313.5368362549457,46.89640872841923,0.0,0.0,0.0,0.0,0.0,1697.5542916491183,0.0,53.72191947412441,0.0,0.0,0.0,0.0,32046.401956483598,0.0
2050,3988.7423732480684,221.31567046998705,0.0,0.0,0.0,0.0,0.0,2574.137100745413,0.0,0.0,0.0,0.0,0.0,0.0,33608.54573656064,0.0
