YEAR,battery-technology,bioenergy-power,coal-subcritical,coal-supercritical,coal-ultrasupercritical,gas-CCGT,gas-CCGT-CCS,gas-OCGT,geo-power,hydropower,nuclear-power,oil-internal-combustion-engine,solar-pv,windoffshore-power,windonshore-power
2023,0.0,0.5059,8.2996,1.978,0.0,2.7344,0.0,0.373,1.743,3.6188000000000002,0.0,3.03836,1.6275,0.0,0.469
2024,0.48000000000000004,0.642262,8.7496,2.428,0.7,6.0244,0.0,0.373,2.673915720509703,3.8610310000000005,0.0,3.2277340000000003,4.40633,0.0,0.629
2025,0.53,0.673462,8.7496,2.778,0.7,6.0244,0.0,0.373,3.126880606218099,4.051231,0.0,3.2837340000000004,7.2832159999999995,0.0,1.43915
2026,0.53,0.7248001895848071,8.5396,3.128,0.7,6.0244,0.0,0.373,3.654727165309451,4.051231,0.0,3.2837340000000004,8.615586,0.0,2.67114
2027,0.53,0.8713975976898485,8.9446,3.128,0.7,6.0244,0.0,0.373,3.9262794396568585,4.051231,0.0,3.2837340000000004,8.680486,0.0,2.77194
2028,0.53,0.8713975976898485,8.9446,3.128,0.7,6.0244,0.0,0.373,3.5357794396568587,4.051231,0.0,3.2837340000000004,8.680486,0.0,2.77194
2029,0.53,0.8713975976898485,8.9446,3.128,0.7,7.1244,0.0,0.373,3.5357794396568587,4.056531,0.0,3.2837340000000004,8.680486,0.0,2.77194
2030,0.53,0.8713975976898485,8.6746,3.188658758804149,0.724843854118334,7.1244,0.0,0.373,4.269698689743562,5.113071,0.0,3.4618098605332097,13.46039348,0.27904011913367216,2.77194
2031,0.664,1.1256017224111905,8.6746,3.188658758804149,0.724843854118334,7.1894,0.0,0.373,4.446638427692274,5.8523863354401175,0.0,2.864331602835729,18.101141877664382,0.7264769393863965,2.77194
2032,0.798,1.6221959992116772,8.6746,3.188658758804149,0.724843854118334,7.2543999999999995,0.0,0.373,4.739999999999999,7.298940640982778,0.0,2.988309322426832,19.250795982932644,1.249978019082084,2.77194
2033,0.932,1.9806351990540125,8.6746,3.188658758804149,0.724843854118334,7.431749708942844,0.0,0.373,4.739999999999999,10.433814580880341,0.0,3.0228362152720343,20.01092500410497,1.8624742823260383,2.73894
