YEAR,battery-technology,bioenergy-power,coal-subcritical,coal-supercritical,coal-supercritical-CCS,coal-ultrasupercritical,gas-CCGT,gas-CCGT-CCS,gas-OCGT,geo-power,hydropower,nuclear-power,oil-internal-combustion-engine,solar-pv,windoffshore-power,windonshore-power
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,587.2051200000006,58.789291200000065,0.0,674.9973000000008,0.0,1154.087200000001,1221.4620000000011,0.0,0.0,4243.285332726484,148.0724460000002,0.0,14.323296000000013,1585.0137712500018,0.0,247.96800000000022
2025,59.57685280000006,62.50749148800007,0.0,523.9479042000006,0.0,0.0,0.0,0.0,0.0,2287.07746096464,235.0135478700003,0.0,41.05130086400004,2076.110101406252,0.0,869.480574480001
2026,0.0,101.9275722899123,0.0,522.9000083916006,0.0,0.0,0.0,0.0,0.0,2651.8387544020675,0.0,0.0,0.0,1085.542009896095,0.0,1848.728073290114
2027,0.0,304.177435362221,744.0774974500819,0.0,0.0,0.0,0.0,0.0,0.0,1747.3287844341164,0.0,0.0,0.0,49.5311332851563,0.0,148.8406246406555
2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,0.0,0.0,0.0,0.0,0.0,0.0,992.6910770714607,0.0,0.0,0.0,9.6298283921988,0.0,0.0,0.0,0.0,0.0
2030,0.0,0.0,0.0,89.90136569285765,0.0,40.47089440857036,0.0,0.0,0.0,3882.2988279338947,1008.1710451536106,0.0,152.4641562095576,3783.4117551921026,877.0714750689386,0.0
2031,136.3220451151216,482.394109996344,0.0,0.0,0.0,0.0,58.07389448413521,0.0,0.0,6320.1042776821405,1335.2503782036722,0.0,126.40716307248515,3581.4323940841246,1382.4631881390874,0.0
2032,132.77767194212845,933.8879416649847,0.0,0.0,0.0,0.0,57.78352501171454,0.0,0.0,1430.1484752636748,2604.7311001210974,0.0,89.61822330974267,865.0486730233165,1589.9847373106459,0.0
2033,129.3254524716331,668.0088426937544,0.0,0.0,0.0,0.0,156.8715674739685,0.0,0.0,0.0,5627.861397306519,0.0,24.90810708402931,557.6545876942247,1828.6573462283473,0.0
2034,125.96299070737062,794.3961157314127,0.0,0.0,0.0,0.0,761.553015279267,0.0,0.0,0.0,2826.914503509245,0.0,84.9465124630489,1591.897764473099,2103.157100470684,0.0
2035,122.68795294897899,944.695860827796,0.0,0.0,0.0,0.0,732.4397985672742,0.0,0.0,0.0,4647.948461085914,0.0,73.88669031512039,0.0,2418.862012822339,0.0
2036,1859.262644728553,368.173301694106,0.0,0.0,0.0,0.0,56.636493184584204,0.0,0.0,0.0,13.829212630695217,0.0,25.11045397992381,7508.419075853825,2781.9573895671,0.0
2037,1348.4665181385667,0.0,0.0,0.0,0.0,0.0,56.353310718661284,0.0,0.0,0.0,1536.7087628974084,0.0,224.5246372213241,6652.493053949582,3199.557013315017,0.0
2038,1225.8799650152355,35.625829111664714,0.0,0.0,0.0,0.0,519.0999071266012,0.0,0.0,0.0,1773.7976635142443,0.0,262.40565752615026,4620.607442820564,3679.8425165837343,590.43163234845
2039,800.4824782174485,0.0,0.0,0.0,0.0,0.0,1593.9278259482596,0.0,0.0,0.0,13.70512273237125,0.0,532.25418979475,3107.4656230669857,4232.223676748118,1197.3534787590374
2040,615.9727293869315,20.992469927887626,0.0,0.0,0.0,0.0,1927.931706295434,0.0,0.0,0.0,13.664007364174134,0.0,634.0688169163459,3469.1140907220233,4867.522772864778,1378.4891130257047
2041,473.3708180234337,225.37165840081425,0.0,0.0,0.0,0.0,2718.0122189409985,0.0,0.0,0.0,0.0,0.0,0.0,4148.527892242155,5598.186616299511,2101.062942139672
2042,431.1457370408918,29.20643330060396,0.0,0.0,0.0,0.0,3009.9980095113883,0.0,0.0,0.0,0.0,0.0,0.0,1655.61022365321,6438.530409272231,3845.1045198796164
2043,627.2477729416069,20.43075910651656,0.0,0.0,0.0,0.0,3275.072002400943,601.5240112820527,0.0,0.0,0.0,0.0,0.0,905.5695116090072,7405.018209008083,4716.168690022619
2044,0.0,25.308602843197452,0.0,0.0,0.0,0.0,1723.6833580178295,3558.276370662786,0.0,0.0,242.24490302821667,0.0,0.0,2133.024510156937,8516.585492362288,3352.296788788463
2045,551.6038660106772,254.15236423176808,0.0,0.0,0.0,0.0,1056.7549735125817,4151.41032026711,0.0,315.1570620392524,0.0,1077.885918680382,0.0,377.0288587752716,9795.01014062079,3771.2571706348604
2046,1954.1774233757726,0.0,0.0,0.0,0.0,0.0,727.8088294681372,1199.7305000561314,0.0,0.0,0.0,4641.789114630316,0.0,402.92882797364376,11265.339112829377,3857.6065356896797
2047,2399.9418969453695,0.0,0.0,0.0,0.0,0.0,686.9556740144604,1868.388986074783,0.0,0.0,0.0,5514.445468180816,0.0,244.35638837753592,13895.752295169523,2803.9321752683713
2048,2430.7668571269137,113.91202427727762,0.0,0.0,0.0,0.0,726.774579905761,84.41151127033113,0.0,0.0,0.0,7475.025082542804,0.0,250.65375189879992,15981.64367219742,3225.2486571538548
2049,3040.6385032934822,46.896408728419296,0.0,0.0,0.0,0.0,218.23754372491265,0.0,0.0,53.72191947412441,0.0,7988.805864754451,0.0,0.0,18380.64820383097,3713.1642740080897
2050,3480.810854296634,221.31567046998705,0.0,0.0,0.0,0.0,669.204036717967,836.1890970134046,0.0,-9.89084922793255e-13,0.0,6863.41156058974,0.0,426.1800817863379,21139.76730570804,1138.0102681761325
